##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de Mateiros - TO; 1712702; TO; 2478; 0.81% / 524543.36 / 490221.70; 0.00% / 0 / 0.00; 0.00% / 0 / 202.50; 14.25% / 2478980.09 / 1873784.52; 0.01% / 0 / 415.33; 0.13% / 0 / 5473.77; 0.00% / 0 / 0.00; 11.06% / 1008355.76 / 538580.65; 2.73% / 0 / 115810.18; 9.35% / 1974276.05 / 2371382.44; 0.00% / 0 / 0.00; 5.15% / 2255086.07 / 2473950.25; 0.60% / 93274.67 / 67983.57; 0.01% / 0 / 444.90; 11.46% / 62851.34 / 549646.36; 0.55% / 0 / 23426.16; 0.18% / 57709.67 / 50255.76; 8.50% / 399611.00 / 38392.66; 0.00% / 0 / 0.00; 6.66% / 261707.82 / 544397.83; 0.00% / 0 / 0.00; 0.01% / 0 / 438.89; 7.32% / 325111.83 / 14036.03; 0.02% / 0 / 664.32; 0.29% / 0 / 12397.28; 13.53% / 0 / 574553.35; 1.02% / 122464.90 / 79344.44; 0.09% / 145637.92 / 141641.29; 6.07% / 9709610.48 / 9967444.20; 0.21% / 0 / 8827.21; 1.78
Prefeitura Municipal de Estrela Dalva - MG; 3124609; MG; 2483; 1.04% / 542948.13 / 490221.70; 3.39% / 172310.77 / 0.00; 0.00% / 0 / 202.50; 10.74% / 1327871.20 / 1873784.52; 0.01% / 0 / 415.33; 0.08% / 9769.90 / 5473.77; 0.00% / 0 / 0.00; 4.91% / 289158.66 / 538580.65; 5.27% / 383419.61 / 115810.18; 2.40% / 2249209.73 / 2371382.44; 0.00% / 0 / 0.00; 18.17% / 1550267.22 / 2473950.25; 1.42% / 139909.25 / 67983.57; 0.01% / 0 / 444.90; 1.74% / 638104.55 / 549646.36; 0.46% / 0 / 23426.16; 0.84% / 7813.15 / 50255.76; 2.83% / 182033.70 / 38392.66; 0.00% / 0 / 0.00; 7.59% / 158809.85 / 544397.83; 0.00% / 0 / 0.00; 0.01% / 0 / 438.89; 0.41% / 35005.37 / 14036.03; 0.28% / 14920.05 / 664.32; 0.24% / 0 / 12397.28; 2.53% / 446199.11 / 574553.35; 1.37% / 9912.43 / 79344.44; 0.64% / 109153.98 / 141641.29; 33.46% / 8266816.66 / 9967444.20; 0.17% / 0 / 8827.21; 1.55
Prefeitura Municipal de Santa Margarida do Sul - RS; 4316972; RS; 2483; 1.90% / 663633.50 / 490221.70; 0.00% / 0 / 0.00; 0.00% / 0 / 202.50; 13.71% / 3126049.83 / 1873784.52; 0.00% / 0 / 415.33; 0.06% / 0 / 5473.77; 0.00% / 0 / 0.00; 1.45% / 670810.65 / 538580.65; 1.27% / 0 / 115810.18; 12.02% / 3469789.83 / 2371382.44; 0.01% / 640.00 / 0.00; 9.60% / 3351281.29 / 2473950.25; 0.23% / 46854.00 / 67983.57; 0.00% / 0 / 444.90; 4.98% / 94933.23 / 549646.36; 0.01% / 22525.55 / 23426.16; 0.63% / 107368.25 / 50255.76; 0.40% / 2145.46 / 38392.66; 0.00% / 0 / 0.00; 2.12% / 738103.16 / 544397.83; 0.00% / 0 / 0.00; 0.00% / 0 / 438.89; 0.15% / 0 / 14036.03; 0.01% / 0 / 664.32; 0.14% / 0 / 12397.28; 6.29% / 0 / 574553.35; 5.67% / 597167.79 / 79344.44; 2.85% / 402246.14 / 141641.29; 36.41% / 13293548.68 / 9967444.20; 0.10% / 0 / 8827.21; 1.52
Prefeitura Municipal de Embaúba - SP; 3514957; SP; 2484; 1.10% / 574329.25 / 490221.70; 2.82% / 215496.85 / 0.00; 0.00% / 0 / 202.50; 3.55% / 1602114.81 / 1873784.52; 0.01% / 0 / 415.33; 7.84% / 604416.60 / 5473.77; 0.00% / 0 / 0.00; 2.70% / 744581.35 / 538580.65; 1.09% / 199372.21 / 115810.18; 2.80% / 2585538.80 / 2371382.44; 0.00% / 0 / 0.00; 13.25% / 3486515.34 / 2473950.25; 1.95% / 216908.92 / 67983.57; 0.01% / 0 / 444.90; 10.12% / 1323456.13 / 549646.36; 0.31% / 0 / 23426.16; 3.79% / 339670.59 / 50255.76; 0.50% / 0 / 38392.66; 0.00% / 0 / 0.00; 4.51% / 199603.82 / 544397.83; 0.00% / 0 / 0.00; 0.01% / 0 / 438.89; 0.18% / 0 / 14036.03; 0.01% / 0 / 664.32; 0.16% / 0 / 12397.28; 2.25% / 402333.39 / 574553.35; 2.49% / 269420.45 / 79344.44; 1.85% / 0 / 141641.29; 36.59% / 12763758.51 / 9967444.20; 0.12% / 0 / 8827.21; 2.33
Prefeitura Municipal de Coqueiros do Sul - RS; 4305850; RS; 2486; 1.15% / 422324.92 / 490221.70; 0.00% / 0 / 0.00; 0.00% / 0 / 202.50; 7.43% / 1435118.97 / 1873784.52; 0.01% / 0 / 415.33; 1.32% / 83218.87 / 5473.77; 0.00% / 0 / 0.00; 4.38% / 279686.93 / 538580.65; 2.91% / 287871.66 / 115810.18; 10.05% / 2964968.64 / 2371382.44; 1.29% / 76040.90 / 0.00; 2.75% / 2311629.66 / 2473950.25; 0.65% / 106589.15 / 67983.57; 0.01% / 0 / 444.90; 8.39% / 53925.60 / 549646.36; 0.12% / 16586.16 / 23426.16; 0.66% / 11239.40 / 50255.76; 1.76% / 142375.08 / 38392.66; 0.00% / 0 / 0.00; 0.30% / 562359.31 / 544397.83; 0.00% / 0 / 0.00; 5.26% / 311228.58 / 438.89; 0.24% / 0 / 14036.03; 0.01% / 0 / 664.32; 0.97% / 69785.06 / 12397.28; 21.67% / 1854315.50 / 574553.35; 0.94% / 23592.44 / 79344.44; 2.40% / 0 / 141641.29; 17.70% / 11012856.83 / 9967444.20; 7.63% / 459648.41 / 8827.21; 1.64
Prefeitura Municipal de Borebi - SP; 3507456; SP; 2489; 3.77% / 0 / 490221.70; 0.00% / 0 / 0.00; 0.00% / 0 / 202.50; 5.83% / 2631919.68 / 1873784.52; 0.00% / 0 / 415.33; 0.04% / 0 / 5473.77; 0.00% / 0 / 0.00; 7.45% / 1507154.43 / 538580.65; 4.40% / 686890.09 / 115810.18; 11.49% / 3865011.44 / 2371382.44; 0.00% / 0 / 0.00; 13.49% / 4227096.03 / 2473950.25; 0.52% / 0 / 67983.57; 0.00% / 0 / 444.90; 2.10% / 822960.58 / 549646.36; 0.18% / 0 / 23426.16; 0.48% / 112400.18 / 50255.76; 3.63% / 509526.84 / 38392.66; 0.00% / 0 / 0.00; 4.19% / 0 / 544397.83; 0.00% / 0 / 0.00; 0.00% / 0 / 438.89; 0.11% / 0 / 14036.03; 0.01% / 0 / 664.32; 0.10% / 0 / 12397.28; 4.42% / 0 / 574553.35; 1.09% / 220648.79 / 79344.44; 1.09% / 0 / 141641.29; 35.53% / 14583608.06 / 9967444.20; 0.07% / 0 / 8827.21; 1.95
Prefeitura Municipal de Avelinópolis - GO; 5202809; GO; 2501; 1.75% / 428327.00 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 10.70% / 1405499.86 / 1848337.61; 0.01% / 0 / 373.80; 0.18% / 12897.87 / 5286.40; 0.00% / 0 / 0.00; 12.80% / 1087485.64 / 557568.00; 9.18% / 484194.24 / 104229.16; 11.39% / 2886858.95 / 2415315.64; 2.49% / 102859.79 / 0.00; 10.05% / 2113769.77 / 2529736.02; 1.47% / 9653.33 / 70692.32; 0.01% / 0 / 400.41; 8.42% / 932407.66 / 583910.95; 0.49% / 750.00 / 21083.55; 1.38% / 0 / 56922.34; 0.50% / 18516.77 / 39267.24; 0.60% / 25028.46 / 0.00; 5.80% / 314574.01 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.31% / 0 / 12632.43; 0.01% / 0 / 597.89; 0.27% / 0 / 11157.55; 4.83% / 831450.70 / 631562.70; 0.21% / 73970.73 / 82824.45; 0.35% / 132525.33 / 146987.42; 16.58% / 10860770.11 / 10174655.93; 0.19% / 0 / 7944.49; 1.72
Prefeitura Municipal de Urupema - SC; 4218954; SC; 2502; 1.17% / 439142.00 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 7.05% / 1478942.02 / 1848337.61; 0.01% / 0 / 373.80; 0.10% / 0 / 5286.40; 0.00% / 0 / 0.00; 2.29% / 437721.11 / 557568.00; 1.99% / 0 / 104229.16; 7.87% / 2002852.80 / 2415315.64; 0.00% / 0 / 0.00; 16.70% / 1654083.65 / 2529736.02; 1.05% / 125911.72 / 70692.32; 0.01% / 0 / 400.41; 11.78% / 1201420.30 / 583910.95; 4.14% / 237928.30 / 21083.55; 0.92% / 8707.92 / 56922.34; 0.32% / 55839.56 / 39267.24; 0.00% / 0 / 0.00; 0.59% / 523790.57 / 554491.80; 0.00% / 0 / 0.00; 0.83% / 44136.62 / 395.00; 8.16% / 440257.59 / 12632.43; 0.01% / 0 / 597.89; 0.94% / 60590.89 / 11157.55; 11.23% / 43050.46 / 631562.70; 0.55% / 111880.83 / 82824.45; 1.00% / 199523.11 / 146987.42; 21.15% / 9065779.45 / 10174655.93; 0.15% / 0 / 7944.49; 1.62
Prefeitura Municipal de Palmeira - SC; 4212056; SC; 2512; 9.90% / 0 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 3.27% / 2013478.99 / 1848337.61; 0.01% / 0 / 373.80; 0.10% / 0 / 5286.40; 0.00% / 0 / 0.00; 2.93% / 409268.22 / 557568.00; 2.06% / 0 / 104229.16; 9.72% / 1923510.72 / 2415315.64; 0.00% / 0 / 0.00; 7.89% / 2929025.94 / 2529736.02; 0.76% / 32392.14 / 70692.32; 0.23% / 12277.33 / 400.41; 3.05% / 738112.33 / 583910.95; 0.28% / 7000.00 / 21083.55; 1.05% / 4000.00 / 56922.34; 3.50% / 216534.91 / 39267.24; 0.00% / 0 / 0.00; 2.88% / 409038.36 / 554491.80; 0.00% / 0 / 0.00; 1.26% / 64222.50 / 395.00; 0.25% / 0 / 12632.43; 0.01% / 0 / 597.89; 0.22% / 0 / 11157.55; 19.72% / 1629203.44 / 631562.70; 0.72% / 46369.45 / 82824.45; 10.99% / 702651.26 / 146987.42; 19.03% / 11137085.59 / 10174655.93; 0.16% / 0 / 7944.49; 1.57
Prefeitura Municipal de Floresta do Piauí - PI; 2203859; PI; 2513; 2.53% / 371288.34 / 500701.00; 0.00% / 0 / 0.00; 2.01% / 103000.00 / 182.25; 4.31% / 2068979.99 / 1848337.61; 0.01% / 0 / 373.80; 0.10% / 0 / 5286.40; 0.00% / 0 / 0.00; 3.87% / 359517.81 / 557568.00; 2.04% / 0 / 104229.16; 2.18% / 2303903.76 / 2415315.64; 0.00% / 0 / 0.00; 3.00% / 2376044.20 / 2529736.02; 1.10% / 14383.33 / 70692.32; 0.01% / 0 / 400.41; 8.19% / 165056.57 / 583910.95; 4.18% / 235203.78 / 21083.55; 4.81% / 303001.77 / 56922.34; 0.77% / 0 / 39267.24; 0.00% / 0 / 0.00; 10.51% / 16573.13 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.25% / 0 / 12632.43; 0.01% / 0 / 597.89; 0.22% / 0 / 11157.55; 11.38% / 49222.70 / 631562.70; 1.62% / 0 / 82824.45; 2.14% / 37602.86 / 146987.42; 34.61% / 8403778.24 / 10174655.93; 0.16% / 0 / 7944.49; 1.82
Prefeitura Municipal de Bom Jesus - PB; 2502201; PB; 2514; 9.68% / 0 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 23.14% / 3045818.47 / 1848337.61; 0.01% / 0 / 373.80; 0.10% / 0 / 5286.40; 0.00% / 0 / 0.00; 5.23% / 287191.62 / 557568.00; 2.01% / 0 / 104229.16; 0.70% / 2378848.46 / 2415315.64; 0.00% / 0 / 0.00; 17.90% / 3456031.47 / 2529736.02; 3.75% / 264644.56 / 70692.32; 0.01% / 0 / 400.41; 3.28% / 753761.57 / 583910.95; 0.41% / 0 / 21083.55; 0.79% / 97716.12 / 56922.34; 0.76% / 0 / 39267.24; 0.00% / 0 / 0.00; 6.62% / 211722.32 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.24% / 0 / 12632.43; 0.01% / 0 / 597.89; 0.22% / 0 / 11157.55; 8.89% / 171429.34 / 631562.70; 1.49% / 5740.00 / 82824.45; 2.84% / 0 / 146987.42; 9.63% / 10672903.93 / 10174655.93; 2.27% / 125291.57 / 7944.49; 1.57
Prefeitura Municipal de Galinhos - RN; 2404101; RN; 2516; 1.79% / 0 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 49.99% / 15808826.33 / 1848337.61; 0.00% / 0 / 373.80; 0.02% / 0 / 5286.40; 0.00% / 0 / 0.00; 2.00% / 0 / 557568.00; 0.37% / 0 / 104229.16; 8.65% / 0 / 2415315.64; 0.00% / 0 / 0.00; 9.06% / 0 / 2529736.02; 0.25% / 0 / 70692.32; 0.00% / 0 / 400.41; 2.09% / 0 / 583910.95; 0.08% / 0 / 21083.55; 0.20% / 0 / 56922.34; 0.14% / 0 / 39267.24; 0.00% / 0 / 0.00; 1.99% / 0 / 554491.80; 0.00% / 0 / 0.00; 0.00% / 0 / 395.00; 0.05% / 0 / 12632.43; 0.00% / 0 / 597.89; 0.04% / 0 / 11157.55; 2.26% / 0 / 631562.70; 0.30% / 0 / 82824.45; 0.53% / 0 / 146987.42; 20.17% / 15808826.33 / 10174655.93; 0.03% / 0 / 7944.49; 3.71
Prefeitura Municipal de Indiavaí - MT; 5104500; MT; 2518; 1.46% / 603314.99 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 32.82% / 4154171.80 / 1848337.61; 0.01% / 0 / 373.80; 0.08% / 0 / 5286.40; 0.00% / 0 / 0.00; 8.51% / 1155408.52 / 557568.00; 1.48% / 0 / 104229.16; 5.34% / 2040466.66 / 2415315.64; 1.66% / 116434.83 / 0.00; 4.34% / 2224988.60 / 2529736.02; 5.21% / 436435.69 / 70692.32; 0.01% / 0 / 400.41; 8.31% / 0 / 583910.95; 0.30% / 0 / 21083.55; 0.81% / 0 / 56922.34; 0.52% / 2489.19 / 39267.24; 0.00% / 0 / 0.00; 7.75% / 10234.00 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.18% / 0 / 12632.43; 0.01% / 0 / 597.89; 0.16% / 0 / 11157.55; 8.99% / 0 / 631562.70; 0.28% / 102779.75 / 82824.45; 0.93% / 81840.88 / 146987.42; 10.73% / 10928564.91 / 10174655.93; 0.11% / 0 / 7944.49; 1.76
Prefeitura Municipal de Arapeí - SP; 3503158; SP; 2532; 9.46% / 0 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 11.97% / 1214716.93 / 1848337.61; 0.01% / 0 / 373.80; 0.10% / 0 / 5286.40; 0.00% / 0 / 0.00; 2.34% / 433662.56 / 557568.00; 1.97% / 0 / 104229.16; 18.82% / 3411505.46 / 2415315.64; 0.00% / 0 / 0.00; 17.29% / 3444565.36 / 2529736.02; 1.85% / 168664.14 / 70692.32; 0.01% / 0 / 400.41; 1.90% / 483260.62 / 583910.95; 0.40% / 0 / 21083.55; 8.08% / 484540.62 / 56922.34; 0.74% / 0 / 39267.24; 0.00% / 0 / 0.00; 3.89% / 760127.89 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.24% / 0 / 12632.43; 0.01% / 0 / 597.89; 0.21% / 0 / 11157.55; 11.93% / 0 / 631562.70; 0.36% / 64030.10 / 82824.45; 2.78% / 0 / 146987.42; 5.49% / 10465073.68 / 10174655.93; 0.15% / 0 / 7944.49; 1.69
Prefeitura Municipal de Forquetinha - RS; 4308433; RS; 2532; 3.32% / 300107.84 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 3.46% / 1639488.25 / 1848337.61; 0.01% / 0 / 373.80; 0.04% / 3000.00 / 5286.40; 0.00% / 0 / 0.00; 5.75% / 210230.37 / 557568.00; 1.73% / 0 / 104229.16; 10.00% / 1811596.52 / 2415315.64; 0.00% / 0 / 0.00; 10.01% / 1925645.26 / 2529736.02; 5.12% / 379610.98 / 70692.32; 0.01% / 0 / 400.41; 14.86% / 1480714.35 / 583910.95; 0.35% / 0 / 21083.55; 1.29% / 135008.76 / 56922.34; 0.65% / 0 / 39267.24; 0.00% / 0 / 0.00; 11.54% / 1251343.37 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.14% / 4431.26 / 12632.43; 0.01% / 0 / 597.89; 0.18% / 0 / 11157.55; 10.46% / 0 / 631562.70; 1.37% / 0 / 82824.45; 2.44% / 0 / 146987.42; 17.12% / 9141176.96 / 10174655.93; 0.13% / 0 / 7944.49; 1.67
Prefeitura Municipal de Zacarias - SP; 3557154; SP; 2542; 0.85% / 615911.29 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 8.53% / 3006146.06 / 1848337.61; 0.00% / 0 / 373.80; 0.04% / 0 / 5286.40; 0.00% / 0 / 0.00; 2.92% / 953296.24 / 557568.00; 5.37% / 832460.49 / 104229.16; 13.41% / 4234594.46 / 2415315.64; 0.56% / 76043.14 / 0.00; 1.63% / 2750211.75 / 2529736.02; 1.19% / 232034.44 / 70692.32; 0.00% / 0 / 400.41; 8.80% / 1777344.82 / 583910.95; 0.16% / 0 / 21083.55; 0.42% / 0 / 56922.34; 0.29% / 0 / 39267.24; 0.00% / 0 / 0.00; 1.95% / 290400.17 / 554491.80; 0.00% / 0 / 0.00; 0.00% / 0 / 395.00; 0.09% / 0 / 12632.43; 0.00% / 0 / 597.89; 0.08% / 0 / 11157.55; 0.32% / 675417.49 / 631562.70; 2.16% / 375518.69 / 82824.45; 0.14% / 166351.98 / 146987.42; 42.84% / 15985731.02 / 10174655.93; 8.25% / 1126609.23 / 7944.49; 1.51
Prefeitura Municipal de Boa Vista do Incra - RS; 4302238; RS; 2549; 3.73% / 754917.08 / 500701.00; 1.89% / 129075.00 / 0.00; 0.00% / 0 / 182.25; 9.09% / 2467770.76 / 1848337.61; 0.01% / 0 / 373.80; 0.99% / 72461.58 / 5286.40; 0.00% / 0 / 0.00; 2.54% / 384852.98 / 557568.00; 1.53% / 0 / 104229.16; 7.33% / 2914523.07 / 2415315.64; 0.10% / 6729.44 / 0.00; 15.29% / 3571559.31 / 2529736.02; 0.21% / 84801.55 / 70692.32; 1.57% / 107354.58 / 400.41; 6.13% / 166587.97 / 583910.95; 0.27% / 2500.91 / 21083.55; 1.40% / 151970.06 / 56922.34; 2.00% / 175814.66 / 39267.24; 0.00% / 0 / 0.00; 0.37% / 529525.50 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 2.13% / 157500.50 / 12632.43; 0.33% / 22916.04 / 597.89; 0.16% / 0 / 11157.55; 2.76% / 819919.07 / 631562.70; 0.72% / 33641.84 / 82824.45; 1.12% / 223536.43 / 146987.42; 38.21% / 12777958.33 / 10174655.93; 0.12% / 0 / 7944.49; 1.73
Prefeitura Municipal de Nova Pádua - RS; 4313086; RS; 2551; 2.68% / 326117.51 / 500701.00; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 3.12% / 2051848.85 / 1848337.61; 0.01% / 0 / 373.80; 0.19% / 18000.00 / 5286.40; 0.00% / 0 / 0.00; 7.51% / 67896.49 / 557568.00; 4.57% / 402215.31 / 104229.16; 4.53% / 2119720.49 / 2415315.64; 0.00% / 0 / 0.00; 16.16% / 1475767.29 / 2529736.02; 0.30% / 90077.01 / 70692.32; 0.01% / 0 / 400.41; 8.94% / 1116.72 / 583910.95; 0.32% / 0 / 21083.55; 0.70% / 11324.30 / 56922.34; 3.74% / 283348.17 / 39267.24; 0.00% / 0 / 0.00; 1.12% / 481540.59 / 554491.80; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 1.85% / 133112.04 / 12632.43; 0.01% / 0 / 597.89; 1.98% / 140534.34 / 11157.55; 28.75% / 2506265.04 / 631562.70; 0.18% / 71273.59 / 82824.45; 5.44% / 501494.57 / 146987.42; 7.77% / 10681652.31 / 10174655.93; 0.12% / 0 / 7944.49; 1.61
Prefeitura Municipal de Mato Castelhano - RS; 4312138; RS; 2563; 15.86% / 0 / 498767.47; 0.00% / 0 / 0.00; 0.01% / 0 / 182.25; 1.35% / 1786195.14 / 1828568.15; 0.01% / 0 / 373.80; 0.19% / 0 / 6085.00; 0.00% / 0 / 0.00; 2.21% / 501099.84 / 570742.34; 2.96% / 0 / 93251.88; 4.61% / 2528584.30 / 2383649.93; 0.00% / 0 / 0.00; 5.11% / 2663755.88 / 2502858.68; 2.36% / 0 / 74346.58; 0.01% / 0 / 400.41; 18.59% / 3645.00 / 588368.18; 1.54% / 68340.75 / 19766.93; 7.02% / 286622.87 / 65788.95; 6.66% / 244708.65 / 35186.92; 0.00% / 0 / 0.00; 1.55% / 615777.81 / 567064.23; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.40% / 0 / 12632.43; 1.31% / 41824.65 / 608.14; 1.93% / 69180.88 / 8321.73; 17.37% / 1159049.14 / 612510.59; 1.49% / 36700.15 / 83429.56; 4.42% / 0 / 139004.24; 2.76% / 10005485.06 / 10092303.40; 0.25% / 0 / 7944.49; 1.64
Prefeitura Municipal de Santa Rita d'Oeste - SP; 3547403; SP; 2574; 0.97% / 400000.00 / 498767.47; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 6.47% / 2488690.91 / 1828568.15; 0.00% / 0 / 373.80; 0.06% / 0 / 6085.00; 0.00% / 0 / 0.00; 3.27% / 904723.92 / 570742.34; 5.92% / 697693.52 / 93251.88; 5.31% / 2925903.56 / 2383649.93; 0.00% / 0 / 0.00; 2.34% / 2741744.40 / 2502858.68; 1.56% / 233605.40 / 74346.58; 0.00% / 0 / 400.41; 3.94% / 990361.84 / 588368.18; 10.73% / 1114381.86 / 19766.93; 2.33% / 303207.48 / 65788.95; 0.34% / 0 / 35186.92; 0.00% / 0 / 0.00; 3.79% / 953658.83 / 567064.23; 0.00% / 0 / 0.00; 0.00% / 0 / 395.00; 0.10% / 2893.80 / 12632.43; 0.01% / 0 / 608.14; 0.08% / 0 / 8321.73; 1.77% / 792649.82 / 612510.59; 0.96% / 180897.02 / 83429.56; 1.58% / 299994.74 / 139004.24; 48.39% / 15030407.10 / 10092303.40; 0.08% / 0 / 7944.49; 1.90
Prefeitura Municipal de Uniflor - PR; 4128302; PR; 2581; 1.60% / 577342.58 / 498767.47; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 0.42% / 1807971.32 / 1828568.15; 0.81% / 40071.37 / 373.80; 0.12% / 0 / 6085.00; 0.00% / 0 / 0.00; 0.49% / 594578.62 / 570742.34; 10.33% / 600978.97 / 93251.88; 10.20% / 1882763.64 / 2383649.93; 0.00% / 0 / 0.00; 18.48% / 1594982.75 / 2502858.68; 2.60% / 202192.58 / 74346.58; 0.01% / 0 / 400.41; 1.65% / 507296.81 / 588368.18; 0.40% / 0 / 19766.93; 1.34% / 0 / 65788.95; 5.05% / 283194.63 / 35186.92; 0.00% / 0 / 0.00; 2.45% / 687668.22 / 567064.23; 0.00% / 0 / 0.00; 0.00% / 568.32 / 395.00; 0.26% / 0 / 12632.43; 0.01% / 0 / 608.14; 4.20% / 214754.20 / 8321.73; 10.66% / 88902.33 / 612510.59; 0.54% / 56932.00 / 83429.56; 1.79% / 226870.31 / 139004.24; 14.76% / 9367068.65 / 10092303.40; 11.82% / 588790.92 / 7944.49; 2.14
Prefeitura Municipal de Lajeado do Bugre - RS; 4311429; RS; 2583; 8.01% / 0 / 498767.47; 7.79% / 485172.11 / 0.00; 0.00% / 0 / 182.25; 23.48% / 3290580.24 / 1828568.15; 0.01% / 0 / 373.80; 0.10% / 0 / 6085.00; 0.00% / 0 / 0.00; 4.04% / 822295.39 / 570742.34; 1.50% / 0 / 93251.88; 3.85% / 2143861.48 / 2383649.93; 0.00% / 0 / 0.00; 8.14% / 3009596.49 / 2502858.68; 1.19% / 0 / 74346.58; 0.01% / 0 / 400.41; 9.45% / 0 / 588368.18; 0.32% / 0 / 19766.93; 1.06% / 0 / 65788.95; 0.55% / 1034.30 / 35186.92; 0.00% / 0 / 0.00; 6.49% / 971227.87 / 567064.23; 0.00% / 0 / 0.00; 0.01% / 0 / 395.00; 0.20% / 0 / 12632.43; 0.01% / 0 / 608.14; 0.13% / 0 / 8321.73; 8.67% / 72429.71 / 612510.59; 1.34% / 0 / 83429.56; 2.23% / 0 / 139004.24; 11.30% / 10796197.59 / 10092303.40; 0.13% / 0 / 7944.49; 2.67
Prefeitura Municipal de Rio Doce - MG; 3155009; MG; 2588; 2.08% / 400288.52 / 498767.47; 3.12% / 147614.70 / 0.00; 0.00% / 0 / 182.25; 3.40% / 1989186.77 / 1828568.15; 0.01% / 0 / 373.80; 0.33% / 21668.03 / 6085.00; 0.00% / 0 / 0.00; 0.25% / 558934.53 / 570742.34; 0.80% / 130910.63 / 93251.88; 2.39% / 2496501.71 / 2383649.93; 0.00% / 0 / 0.00; 14.75% / 1805141.00 / 2502858.68; 17.84% / 918290.20 / 74346.58; 0.01% / 0 / 400.41; 7.82% / 958248.00 / 588368.18; 3.57% / 188506.02 / 19766.93; 5.58% / 329625.47 / 65788.95; 0.38% / 17001.08 / 35186.92; 0.00% / 0 / 0.00; 1.42% / 500080.31 / 567064.23; 0.99% / 46626.70 / 0.00; 0.01% / 0 / 395.00; 0.27% / 0 / 12632.43; 0.02% / 1470.00 / 608.14; 0.18% / 0 / 8321.73; 0.46% / 590699.32 / 612510.59; 4.08% / 276214.83 / 83429.56; 2.94% / 0 / 139004.24; 27.16% / 11377007.82 / 10092303.40; 0.17% / 0 / 7944.49; 2.23
Prefeitura Municipal de Pontes Gestal - SP; 3540309; SP; 2593; 1.48% / 695841.93 / 498767.47; 0.00% / 0 / 0.00; 0.00% / 0 / 182.25; 11.04% / 3296535.01 / 1828568.15; 0.00% / 0 / 373.80; 0.05% / 0 / 6085.00; 0.00% / 0 / 0.00; 3.85% / 1083165.48 / 570742.34; 9.93% / 1412917.21 / 93251.88; 7.93% / 3437393.92 / 2383649.93; 0.00% / 0 / 0.00; 7.41% / 3487572.36 / 2502858.68; 0.72% / 170593.65 / 74346.58; 0.00% / 0 / 400.41; 0.32% / 631093.57 / 588368.18; 1.26% / 187185.35 / 19766.93; 0.49% / 0 / 65788.95; 0.10% / 48320.87 / 35186.92; 0.00% / 0 / 0.00; 3.09% / 156064.53 / 567064.23; 0.00% / 0 / 0.00; 0.00% / 0 / 395.00; 0.69% / 104221.29 / 12632.43; 0.00% / 0 / 608.14; 0.60% / 87994.20 / 8321.73; 4.19% / 1169996.70 / 612510.59; 0.15% / 102802.85 / 83429.56; 1.05% / 0 / 139004.24; 44.98% / 16071698.92 / 10092303.40; 0.66% / 95258.86 / 7944.49; 1.50
