##Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_relativo_med
Prefeitura Municipal de Campanário - MG;  3110806;  MG;  3720; Despesas (Exceto Intraorçamentárias); 17.88%; 10839310.06; 11643688.57; -804378.51; Administração; 15.41%; 1376585.70; 2070203.98; -693618.28; Previdência Social; 13.15%; 812570.86; 220673.14; 591897.72; Educação; 10.28%; 2650993.69; 3113544.21; -462550.52; Transporte; 07.21%; 142675.69; 466966.48; -324290.79;  1.54
Prefeitura Municipal de Bias Fortes - MG;  3106804;  MG;  3724; Despesas (Exceto Intraorçamentárias); 36.61%; 9201484.77; 11559695.66; -2358210.89; Administração; 20.06%; 772946.08; 2065280.99; -1292334.91; Educação; 16.34%; 2125423.28; 3177943.47; -1052520.19; Urbanismo; 05.68%; 575156.93; 941321.50; -366164.57; Assistência Social; 04.42%; 369885.61; 654451.91; -284566.30;  1.62
Prefeitura Municipal de Campinaçu - GO;  5204656;  GO;  3744; Despesas (Exceto Intraorçamentárias); 39.09%; 17370954.86; 11559695.66; 5811259.20; Habitação; 14.13%; 2101576.06; 1652.25; 2099923.81; Transporte; 09.62%; 1822938.29; 393104.77; 1429833.52; Administração; 08.94%; 3394737.86; 2065280.99; 1329456.87; Urbanismo; 06.16%; 25000.00; 941321.50; -916321.50;  2.41
Prefeitura Municipal de Arambaré - RS;  4300851;  RS;  3769; Despesas (Exceto Intraorçamentárias); 38.74%; 13823669.07; 11322691.09; 2500977.98; Saúde; 18.46%; 3989931.12; 2798401.05; 1191530.07; Urbanismo; 14.85%; 1913925.93; 955517.63; 958408.30; Transporte; 03.52%; 585923.96; 358717.30; 227206.66; Educação; 03.31%; 2904872.86; 3118395.27; -213522.41;  1.59
Prefeitura Municipal de Vieiras - MG;  3171402;  MG;  3777; Despesas (Exceto Intraorçamentárias); 19.01%; 10456719.89; 11322691.09; -865971.20; Comércio e Serviços; 13.44%; 617317.93; 5312.48; 612005.45; Saúde; 12.94%; 2208983.60; 2798401.05; -589417.45; Administração; 11.80%; 1476854.12; 2014176.39; -537322.27; Urbanismo; 09.09%; 541507.44; 955517.63; -414010.19;  1.77
Prefeitura Municipal de São José do Povo - MT;  5107297;  MT;  3782; Despesas (Exceto Intraorçamentárias); 29.49%; 8968682.49; 10922919.25; -1954236.76; Administração; 17.85%; 3136765.89; 1953940.03; 1182825.86; Urbanismo; 14.11%; 21217.86; 956398.04; -935180.18; Educação; 11.93%; 2279857.14; 3070605.82; -790748.68; Legislativa; 08.02%; 0; 531609.11; -531609.11;  1.54
Prefeitura Municipal de São Geraldo do Baixio - MG;  3161650;  MG;  3788; Educação; 21.33%; 2012288.13; 3070605.82; -1058317.69; Administração; 16.24%; 1147976.43; 1953940.03; -805963.60; Despesas (Exceto Intraorçamentárias); 09.99%; 10427358.76; 10922919.25; -495560.49; Cultura; 07.23%; 457887.00; 99033.87; 358853.13; Previdência Social; 06.36%; 421109.04; 105461.69; 315647.35;  1.64
Prefeitura Municipal de Pedra Branca - PB;  2511004;  PB;  3791; Despesas (Exceto Intraorçamentárias); 24.20%; 12004728.79; 10922919.25; 1081809.54; Educação; 11.16%; 3569527.78; 3070605.82; 498921.96; Comércio e Serviços; 10.12%; 457769.37; 5312.48; 452456.89; Administração; 10.09%; 1502672.04; 1953940.03; -451267.99; Saúde; 07.21%; 3023792.06; 2701644.45; 322147.61;  1.55
Prefeitura Municipal de Bom Jesus do Sul - PR;  4103156;  PR;  3800; Despesas (Exceto Intraorçamentárias); 35.75%; 13794572.93; 10922919.25; 2871653.68; Transporte; 20.69%; 1960027.16; 298298.39; 1661728.77; Assistência Social; 07.50%; 1227737.98; 625061.39; 602676.59; Indústria; 05.60%; 449633.43; 105.70; 449527.73; Agricultura; 05.48%; 674400.46; 234391.17; 440009.29;  1.57
Prefeitura Municipal de Witmarsum - SC;  4219408;  SC;  3805; Despesas (Exceto Intraorçamentárias); 31.54%; 13340616.36; 10652674.90; 2687941.46; Urbanismo; 14.58%; 2098732.30; 855886.03; 1242846.27; Encargos Especiais; 12.87%; 1215576.83; 119060.24; 1096516.59; Agricultura; 10.96%; 1156208.29; 222482.57; 933725.72; Saúde; 10.45%; 3530239.05; 2639783.36; 890455.69;  1.55
Prefeitura Municipal de Nova Módica - MG;  3144904;  MG;  3811; Despesas (Exceto Intraorçamentárias); 25.80%; 9691152.70; 10652674.90; -961522.20; Administração; 21.69%; 1134962.45; 1943258.64; -808296.19; Educação; 17.17%; 2421458.87; 3061512.43; -640053.56; Encargos Especiais; 08.63%; 440611.92; 119060.24; 321551.68; Assistência Social; 04.35%; 441300.13; 603265.62; -161965.49;  1.69
Prefeitura Municipal de Varjão - GO;  5221908;  GO;  3813; Despesas (Exceto Intraorçamentárias); 23.42%; 12294471.23; 10652674.90; 1641796.33; Transporte; 15.01%; 1314214.15; 261739.92; 1052474.23; Administração; 13.39%; 2881768.94; 1943258.64; 938510.30; Urbanismo; 12.16%; 3500.00; 855886.03; -852386.03; Habitação; 08.85%; 622150.13; 1638.92; 620511.21;  1.79
Prefeitura Municipal de Rio Quente - GO;  5218789;  GO;  3828; Despesas (Exceto Intraorçamentárias); 47.25%; 22717615.22; 10838466.27; 11879148.95; Administração; 11.32%; 4673894.71; 1828843.43; 2845051.28; Saúde; 06.53%; 4323170.90; 2681211.79; 1641959.11; Educação; 05.51%; 4491433.78; 3106083.34; 1385350.44; Urbanismo; 05.50%; 2327543.60; 944098.92; 1383444.68;  2.17
Prefeitura Municipal de Munhoz de Melo - PR;  4116307;  PR;  3883; Despesas (Exceto Intraorçamentárias); 45.59%; 15002217.88; 11517314.77; 3484903.11; Urbanismo; 09.55%; 1718184.54; 988001.50; 730183.04; Previdência Social; 09.06%; 881187.09; 188289.74; 692897.35; Desporto e Lazer; 06.04%; 573131.84; 111587.11; 461544.73; Encargos Especiais; 06.00%; 619923.47; 161247.12; 458676.35;  1.59
Prefeitura Municipal de Santa Rosa de Lima - SE;  2806503;  SE;  3899; Administração; 28.28%; 5077874.35; 1853786.81; 3224087.54; Saúde; 16.54%; 885229.20; 2770979.24; -1885750.04; Educação; 16.19%; 5111483.42; 3266120.77; 1845362.65; Despesas (Exceto Intraorçamentárias); 12.83%; 12724510.56; 11261515.64; 1462994.92; Urbanismo; 08.04%; 0; 915939.44; -915939.44;  2.29
Prefeitura Municipal de Mutunópolis - GO;  5214101;  GO;  3922; Despesas (Exceto Intraorçamentárias); 31.72%; 13507483.80; 11165858.15; 2341625.65; Habitação; 13.34%; 985906.19; 1237.50; 984668.69; Urbanismo; 11.97%; 0; 883476.28; -883476.28; Previdência Social; 11.76%; 1016577.32; 148611.11; 867966.21; Transporte; 05.92%; 889275.81; 452384.46; 436891.35;  1.96
Prefeitura Municipal de São José do Divino - MG;  3163300;  MG;  3943; Saúde; 17.50%; 3734559.41; 2762384.29; 972175.12; Educação; 11.13%; 2580719.42; 3199059.63; -618340.21; Administração; 10.72%; 1165424.50; 1760757.99; -595333.49; Despesas (Exceto Intraorçamentárias); 09.68%; 11646700.47; 11108769.82; 537930.65; Transporte; 09.30%; 982053.55; 465177.09; 516876.46;  1.67
Prefeitura Municipal de Guapirama - PR;  4109005;  PR;  3959; Administração; 21.99%; 3210283.83; 1760757.99; 1449525.84; Urbanismo; 11.83%; 99716.01; 879371.77; -779655.76; Saúde; 11.68%; 3532617.08; 2762384.29; 770232.79; Saneamento; 11.33%; 820146.25; 73301.77; 746844.48; Despesas (Exceto Intraorçamentárias); 10.39%; 11794063.92; 11108769.82; 685294.10;  1.75
Prefeitura Municipal de Hidrolina - GO;  5209804;  GO;  3966; Urbanismo; 24.11%; 0; 879371.77; -879371.77; Saúde; 14.90%; 3305815.63; 2762384.29; 543431.34; Habitação; 10.36%; 379020.97; 1237.50; 377783.47; Educação; 09.99%; 2834716.81; 3199059.63; -364342.82; Administração; 06.80%; 2008603.59; 1760757.99; 247845.60;  1.56
Prefeitura Municipal de Tibau - RN;  2411056;  RN;  3978; Despesas (Exceto Intraorçamentárias); 47.24%; 33642158.06; 11108769.82; 22533388.24; Urbanismo; 19.61%; 10235748.65; 879371.77; 9356376.88; Administração; 17.74%; 10222402.05; 1760757.99; 8461644.06; Saúde; 06.98%; 6092137.58; 2762384.29; 3329753.29; Assistência Social; 03.33%; 2198908.82; 609673.52; 1589235.30;  2.81
Prefeitura Municipal de Lajedão - BA;  2918902;  BA;  3997; Despesas (Exceto Intraorçamentárias); 29.73%; 14041922.69; 11182936.50; 2858986.19; Administração; 26.37%; 4299538.89; 1763756.73; 2535782.16; Educação; 19.53%; 5118267.38; 3240210.37; 1878057.01; Transporte; 04.58%; 0; 440597.54; -440597.54; Urbanismo; 03.84%; 537877.91; 907120.74; -369242.83;  1.67
Prefeitura Municipal de Sandovalina - SP;  3545506;  SP;  4026; Despesas (Exceto Intraorçamentárias); 49.55%; 25361382.37; 11068021.64; 14293360.73; Educação; 14.77%; 7509371.80; 3248121.65; 4261250.15; Saúde; 09.46%; 5480228.51; 2751023.18; 2729205.33; Urbanismo; 04.47%; 2173060.70; 883513.41; 1289547.29; Trabalho; 04.34%; 1257459.86; 4659.51; 1252800.35;  3.24
Prefeitura Municipal de Corumbataí - SP;  3512704;  SP;  4027; Despesas (Exceto Intraorçamentárias); 46.37%; 20910697.61; 11068021.64; 9842675.97; Urbanismo; 14.99%; 4065973.49; 883513.41; 3182460.08; Educação; 14.49%; 6324351.52; 3248121.65; 3076229.87; Saúde; 11.20%; 5128637.38; 2751023.18; 2377614.20; Saneamento; 03.60%; 821238.37; 56721.08; 764517.29;  1.63
Prefeitura Municipal de Ouro Verde de Goiás - GO;  5215405;  GO;  4039; Despesas (Exceto Intraorçamentárias); 34.82%; 14683976.24; 11237019.47; 3446956.77; Educação; 18.38%; 4983624.82; 3164672.64; 1818952.18; Administração; 12.89%; 3054499.88; 1778277.97; 1276221.91; Previdência Social; 11.20%; 1265641.93; 156944.32; 1108697.61; Urbanismo; 04.50%; 418618.53; 863673.89; -445055.36;  1.99
Prefeitura Municipal de Aporé - GO;  5201504;  GO;  4043; Despesas (Exceto Intraorçamentárias); 49.48%; 24087384.36; 11237019.47; 12850364.89; Educação; 10.90%; 5995164.31; 3164672.64; 2830491.67; Saúde; 09.16%; 5191122.70; 2812535.87; 2378586.83; Saneamento; 06.29%; 1689214.82; 56721.08; 1632493.74; Encargos Especiais; 04.54%; 1367830.97; 188052.16; 1179778.81;  1.90
Prefeitura Municipal de Acaiaca - MG;  3100401;  MG;  4050; Saneamento; 24.55%; 1482648.72; 56721.08; 1425927.64; Despesas (Exceto Intraorçamentárias); 20.27%; 12414498.51; 11237019.47; 1177479.04; Urbanismo; 09.80%; 1432777.80; 863673.89; 569103.91; Transporte; 08.55%; 8372.80; 505178.51; -496805.71; Administração; 07.87%; 1321374.27; 1778277.97; -456903.70;  1.52
Prefeitura Municipal de Rio Branco do Ivaí - PR;  4122172;  PR;  4072; Administração; 27.02%; 3439972.20; 1831418.32; 1608553.88; Despesas (Exceto Intraorçamentárias); 15.17%; 10426057.80; 11329204.18; -903146.38; Educação; 13.86%; 2444513.39; 3269456.22; -824942.83; Urbanismo; 10.24%; 232084.97; 841426.38; -609341.41; Transporte; 08.58%; 1989.16; 512441.78; -510452.62;  1.61
Prefeitura Municipal de Chiapetta - RS;  4305405;  RS;  4080; Despesas (Exceto Intraorçamentárias); 38.81%; 13751094.04; 11329204.18; 2421889.86; Urbanismo; 12.96%; 1649934.80; 841426.38; 808508.42; Saúde; 07.61%; 3311810.39; 2836712.13; 475098.26; Agricultura; 05.69%; 625755.64; 270507.58; 355248.06; Transporte; 05.38%; 848015.95; 512441.78; 335574.17;  1.52
Prefeitura Municipal de Carrancas - MG;  3114600;  MG;  4089; Despesas (Exceto Intraorçamentárias); 15.91%; 12235004.10; 11490630.25; 744373.85; Educação; 13.55%; 2702513.27; 3336338.15; -633824.88; Transporte; 10.95%; 1024631.67; 512377.78; 512253.89; Agricultura; 09.74%; 728559.63; 272988.24; 455571.39; Saúde; 09.62%; 3332998.71; 2883124.45; 449874.26;  1.60
Prefeitura Municipal de Cordilheira Alta - SC;  4204350;  SC;  4114; Despesas (Exceto Intraorçamentárias); 44.88%; 18906449.18; 11417826.00; 7488623.18; Urbanismo; 24.12%; 4758034.88; 733199.16; 4024835.72; Agricultura; 09.27%; 1834095.65; 287805.76; 1546289.89; Saúde; 06.34%; 3926882.15; 2868278.04; 1058604.11; Educação; 03.98%; 4008632.95; 3345015.46; 663617.49;  1.61
Prefeitura Municipal de Marliéria - MG;  3140308;  MG;  4126; Administração; 31.07%; 3809258.91; 1968440.03; 1840818.88; Despesas (Exceto Intraorçamentárias); 21.66%; 12658091.61; 11374572.06; 1283519.55; Educação; 09.60%; 2825673.73; 3394718.61; -569044.88; Urbanismo; 06.07%; 386693.69; 746198.96; -359505.27; Saúde; 05.90%; 3175263.41; 2825789.07; 349474.34;  1.84
Prefeitura Municipal de Nova Brasilândia - MT;  5106208;  MT;  4139; Administração; 38.90%; 5518600.19; 1968440.03; 3550160.16; Saúde; 13.50%; 1594062.59; 2825789.07; -1231726.48; Educação; 09.68%; 2511219.38; 3394718.61; -883499.23; Urbanismo; 08.18%; 0; 746198.96; -746198.96; Legislativa; 05.92%; 0; 540546.66; -540546.66;  1.83
Prefeitura Municipal de Modelo - SC;  4210902;  SC;  4158; Despesas (Exceto Intraorçamentárias); 41.63%; 16595478.46; 11523926.84; 5071551.62; Transporte; 15.08%; 2309285.76; 472560.48; 1836725.28; Urbanismo; 12.13%; 2213012.93; 734535.75; 1478477.18; Desporto e Lazer; 06.91%; 932585.09; 90156.17; 842428.92; Agricultura; 05.89%; 1016731.82; 298595.19; 718136.63;  2.67
Prefeitura Municipal de Mato Leitão - RS;  4312153;  RS;  4161; Despesas (Exceto Intraorçamentárias); 35.96%; 14368523.24; 11523926.84; 2844596.40; Administração; 10.34%; 2792164.57; 1974016.32; 818148.25; Agricultura; 08.79%; 993999.92; 298595.19; 695404.73; Indústria; 08.41%; 668033.06; 2718.62; 665314.44; Urbanismo; 07.60%; 133161.19; 734535.75; -601374.56;  1.67
Prefeitura Municipal de Jaquirana - RS;  4311122;  RS;  4167; Administração; 24.99%; 3699425.32; 1974016.32; 1725409.00; Saúde; 19.08%; 4169234.22; 2851835.76; 1317398.46; Urbanismo; 08.97%; 115096.50; 734535.75; -619439.25; Despesas (Intraorçamentárias); 08.31%; 574073.59; 0.00; 574073.59; Assistência Social; 07.99%; 59458.69; 611486.23; -552027.54;  1.60
Prefeitura Municipal de São José do Alegre - MG;  3163201;  MG;  4180; Despesas (Exceto Intraorçamentárias); 30.81%; 9108897.48; 11163176.40; -2054278.92; Educação; 21.87%; 1888870.51; 3346751.14; -1457880.63; Saúde; 13.56%; 1811262.40; 2715202.90; -903940.50; Saneamento; 06.35%; 476848.45; 53237.23; 423611.22; Assistência Social; 05.37%; 226103.10; 584302.87; -358199.77;  1.70
Prefeitura Municipal de Piedade de Ponte Nova - MG;  3150208;  MG;  4197; Despesas (Exceto Intraorçamentárias); 27.24%; 12615693.01; 11163176.40; 1452516.61; Assistência Social; 13.55%; 1306778.85; 584302.87; 722475.98; Saúde; 11.77%; 3342548.19; 2715202.90; 627345.29; Educação; 07.62%; 2940259.46; 3346751.14; -406491.68; Administração; 06.59%; 1584230.27; 1935670.56; -351440.29;  1.51
Prefeitura Municipal de Entre Rios do Oeste - PR;  4107538;  PR;  4255; Despesas (Exceto Intraorçamentárias); 49.48%; 23616880.77; 11460347.45; 12156533.32; Transporte; 09.06%; 2727470.60; 500937.49; 2226533.11; Indústria; 05.54%; 1364772.52; 2718.62; 1362053.90; Saúde; 04.72%; 3950634.38; 2791360.98; 1159273.40; Urbanismo; 04.51%; 1791191.49; 683236.40; 1107955.09;  2.82
Prefeitura Municipal de São José da Safira - MG;  3163003;  MG;  4258; Administração; 16.87%; 1259686.33; 1943606.66; -683920.33; Transporte; 14.32%; 1081399.04; 500937.49; 580461.55; Educação; 14.06%; 2857000.55; 3427005.09; -570004.54; Despesas (Exceto Intraorçamentárias); 08.42%; 11801478.42; 11460347.45; 341130.97; Habitação; 07.06%; 287010.00; 735.64; 286274.36;  1.59
Prefeitura Municipal de Pescador - MG;  3150000;  MG;  4284; Educação; 26.37%; 2050093.01; 3404248.00; -1354154.99; Urbanismo; 13.63%; 1420453.19; 720745.84; 699707.35; Despesas (Exceto Intraorçamentárias); 10.88%; 11074435.90; 11632825.62; -558389.72; Transporte; 07.22%; 170887.71; 541610.49; -370722.78; Agricultura; 06.60%; 79096.44; 417993.73; -338897.29;  1.50
Prefeitura Municipal de Marilac - MG;  3140100;  MG;  4286; Despesas (Exceto Intraorçamentárias); 44.85%; 16931153.62; 11814801.51; 5116352.11; Administração; 21.98%; 4545615.25; 2037820.31; 2507794.94; Desporto e Lazer; 17.82%; 2113481.99; 80324.71; 2033157.28; Urbanismo; 06.08%; 1494142.82; 800973.50; 693169.32; Saúde; 01.92%; 2709611.20; 2928971.66; -219360.46;  2.31
Prefeitura Municipal de Brejo de Areia - MA;  2102150;  MA;  4291; Educação; 41.41%; 12257169.55; 3452351.37; 8804818.18; Despesas (Exceto Intraorçamentárias); 35.43%; 19348717.90; 11814801.51; 7533916.39; Transporte; 07.89%; 2130921.89; 452373.18; 1678548.71; Urbanismo; 03.77%; 0; 800973.50; -800973.50; Legislativa; 02.45%; 0; 520892.33; -520892.33;  3.05
Prefeitura Municipal de Santa Cruz da Conceição - SP;  3546207;  SP;  4292; Despesas (Exceto Intraorçamentárias); 44.26%; 18907311.21; 11925134.30; 6982176.91; Urbanismo; 08.67%; 2180993.09; 813645.23; 1367347.86; Administração; 08.49%; 3392173.01; 2053465.63; 1338707.38; Transporte; 08.22%; 1753479.88; 456026.08; 1297453.80; Educação; 08.01%; 4826478.01; 3563178.66; 1263299.35;  1.69
Prefeitura Municipal de Tupandi - RS;  4322251;  RS;  4309; Despesas (Exceto Intraorçamentárias); 41.56%; 23224815.14; 11904039.35; 11320775.79; Administração; 19.49%; 7363736.32; 2055374.27; 5308362.05; Educação; 08.83%; 5954376.72; 3549347.70; 2405029.02; Saúde; 06.31%; 4622482.39; 2904435.05; 1718047.34; Agricultura; 03.25%; 1276386.90; 391543.54; 884843.36;  1.78
Prefeitura Municipal de Buritizal - SP;  3508207;  SP;  4313; Despesas (Exceto Intraorçamentárias); 49.38%; 20590709.06; 11904039.35; 8686669.71; Educação; 16.62%; 6472500.37; 3549347.70; 2923152.67; Saúde; 09.59%; 4591146.96; 2904435.05; 1686711.91; Habitação; 06.51%; 1145388.36; 735.64; 1144652.72; Administração; 04.81%; 2901171.53; 2055374.27; 845797.26;  1.71
Prefeitura Municipal de Pequi - MG;  3149606;  MG;  4314; Educação; 21.24%; 2098966.62; 3549347.70; -1450381.08; Despesas (Exceto Intraorçamentárias); 19.03%; 10604496.77; 11904039.35; -1299542.58; Previdência Social; 13.79%; 1027446.99; 85890.19; 941556.80; Administração; 06.24%; 1628951.63; 2055374.27; -426422.64; Despesas (Intraorçamentárias); 05.62%; 383620.94; 0.00; 383620.94;  5.93
Prefeitura Municipal de Sampaio - TO;  1718808;  TO;  4329; Despesas (Exceto Intraorçamentárias); 37.37%; 8850189.84; 11783341.61; -2933151.77; Saúde; 16.61%; 1545676.76; 2849625.10; -1303948.34; Educação; 14.10%; 2457766.20; 3564154.90; -1106388.70; Transporte; 05.41%; 13135.63; 437687.15; -424551.52; Desporto e Lazer; 05.07%; 487490.27; 89641.54; 397848.73;  1.58
Prefeitura Municipal de São Geraldo da Piedade - MG;  3161601;  MG;  4329; Educação; 19.02%; 2349405.29; 3564154.90; -1214749.61; Administração; 16.22%; 3077160.13; 2041264.51; 1035895.62; Despesas (Exceto Intraorçamentárias); 16.20%; 12818043.92; 11783341.61; 1034702.31; Previdência Social; 07.07%; 505226.83; 53458.80; 451768.03; Urbanismo; 05.95%; 1189432.14; 809459.25; 379972.89;  1.57
Prefeitura Municipal de Fortaleza de Minas - MG;  3126307;  MG;  4330; Administração; 20.03%; 3970893.57; 2041264.51; 1929629.06; Despesas (Exceto Intraorçamentárias); 19.45%; 13657000.02; 11783341.61; 1873658.41; Previdência Social; 14.71%; 1470827.98; 53458.80; 1417369.18; Saúde; 12.00%; 4005557.24; 2849625.10; 1155932.14; Educação; 09.65%; 2634219.12; 3564154.90; -929935.78;  1.65
Prefeitura Municipal de Nova Araçá - RS;  4312807;  RS;  4339; Despesas (Exceto Intraorçamentárias); 31.86%; 14405347.50; 11841985.90; 2563361.60; Urbanismo; 12.49%; 1855288.59; 850747.98; 1004540.61; Administração; 12.46%; 3044377.57; 2041497.47; 1002880.10; Despesas (Intraorçamentárias); 09.26%; 745224.93; 0.00; 745224.93; Educação; 05.43%; 3179840.80; 3616598.64; -436757.84;  1.67
Prefeitura Municipal de Contendas do Sincorá - BA;  2908804;  BA;  4340; Despesas (Exceto Intraorçamentárias); 27.27%; 13557538.35; 11841985.90; 1715552.45; Educação; 17.21%; 4699181.72; 3616598.64; 1082583.08; Urbanismo; 15.43%; 1821300.64; 850747.98; 970552.66; Transporte; 06.37%; 21773.00; 422524.10; -400751.10; Agricultura; 06.17%; 0; 387883.56; -387883.56;  1.51
Prefeitura Municipal de Serra Azul de Minas - MG;  3166501;  MG;  4358; Administração; 15.30%; 1217469.81; 2077969.49; -860499.68; Educação; 14.94%; 2815330.17; 3655941.80; -840611.63; Despesas (Exceto Intraorçamentárias); 13.65%; 11329959.77; 12097624.30; -767664.53; Encargos Especiais; 12.82%; 864531.91; 143588.72; 720943.19; Urbanismo; 10.19%; 1393570.17; 820293.47; 573276.70;  1.62
Prefeitura Municipal de São Braz do Piauí - PI;  2209559;  PI;  4367; Despesas (Exceto Intraorçamentárias); 33.57%; 9672606.99; 11997931.09; -2325324.10; Administração; 12.16%; 1246252.41; 2088883.18; -842630.77; Legislativa; 07.32%; 0; 507282.03; -507282.03; Saúde; 07.18%; 2346327.13; 2843547.52; -497220.39; Urbanismo; 06.00%; 387379.76; 803013.51; -415633.75;  2.12
Prefeitura Municipal de João Ramalho - SP;  3525607;  SP;  4389; Despesas (Exceto Intraorçamentárias); 46.45%; 17550161.30; 11997931.09; 5552230.21; Saúde; 17.26%; 4906400.07; 2843547.52; 2062852.55; Previdência Social; 12.83%; 1590405.55; 57055.22; 1533350.33; Desporto e Lazer; 07.24%; 973155.66; 107423.46; 865732.20; Urbanismo; 04.51%; 1341764.67; 803013.51; 538751.16;  1.56
Prefeitura Municipal de Piratuba - SC;  4213104;  SC;  4424; Despesas (Exceto Intraorçamentárias); 49.68%; 30327771.35; 12354696.51; 17973074.84; Educação; 10.95%; 7697626.46; 3737038.16; 3960588.30; Transporte; 10.89%; 4440714.42; 499498.89; 3941215.53; Saúde; 05.47%; 4997450.05; 3019099.51; 1978350.54; Urbanismo; 05.18%; 2849162.70; 976616.23; 1872546.47;  1.64
Prefeitura Municipal de Novo Horizonte do Sul - MS;  5006259;  MS;  4442; Despesas (Exceto Intraorçamentárias); 43.30%; 17933890.72; 12354696.51; 5579194.21; Administração; 22.37%; 4758026.98; 1875496.10; 2882530.88; Saúde; 09.73%; 4272347.42; 3019099.51; 1253247.91; Educação; 06.69%; 4599441.18; 3737038.16; 862403.02; Legislativa; 02.51%; 812775.60; 489527.79; 323247.81;  1.94
Prefeitura Municipal de Riachão do Bacamarte - PB;  2512754;  PB;  4448; Despesas (Exceto Intraorçamentárias); 38.26%; 10417727.03; 12354696.51; -1936969.48; Saúde; 19.00%; 2057330.66; 3019099.51; -961768.85; Transporte; 09.87%; 0; 499498.89; -499498.89; Urbanismo; 09.20%; 1442301.36; 976616.23; 465685.13; Agricultura; 06.96%; 118987.44; 471169.03; -352181.59;  2.10
Prefeitura Municipal de Guaribas - PI;  2204550;  PI;  4472; Educação; 39.47%; 5538177.33; 3747060.81; 1791116.52; Saúde; 20.15%; 2049699.63; 2963827.67; -914128.04; Agricultura; 07.63%; 73248.00; 419608.21; -346360.21; Urbanismo; 07.23%; 635164.61; 963208.06; -328043.45; Essencial à Justiça; 06.08%; 276060.16; 0.00; 276060.16;  1.72
Prefeitura Municipal de Três Palmeiras - RS;  4321857;  RS;  4478; Administração; 26.84%; 4056906.51; 1860881.19; 2196025.32; Despesas (Exceto Intraorçamentárias); 25.14%; 14161718.37; 12104955.32; 2056763.05; Urbanismo; 10.07%; 139104.75; 963208.06; -824103.31; Previdência Social; 06.40%; 601530.64; 78119.01; 523411.63; Agricultura; 05.83%; 896834.87; 419608.21; 477226.66;  1.57
Prefeitura Municipal de Messias Targino - RN;  2407609;  RN;  4489; Despesas (Exceto Intraorçamentárias); 24.75%; 9693782.34; 12104955.32; -2411172.98; Administração; 19.92%; 3801856.79; 1860881.19; 1940975.60; Educação; 18.47%; 1947449.36; 3747060.81; -1799611.45; Urbanismo; 07.37%; 245601.25; 963208.06; -717606.81; Assistência Social; 06.09%; 50988.05; 644477.33; -593489.28;  1.64
Prefeitura Municipal de São João da Canabrava - PI;  2209856;  PI;  4516; Despesas (Exceto Intraorçamentárias); 34.82%; 10291764.89; 12213054.90; -1921290.01; Saúde; 17.69%; 2008665.82; 2984388.25; -975722.43; Urbanismo; 13.74%; 227813.64; 985743.05; -757929.41; Desporto e Lazer; 09.83%; 674638.54; 132238.50; 542400.04; Transporte; 05.78%; 100593.80; 419722.50; -319128.70;  1.56
Prefeitura Municipal de Boa Esperança - PR;  4103008;  PR;  4518; Despesas (Exceto Intraorçamentárias); 36.20%; 15083316.42; 11925848.94; 3157467.48; Urbanismo; 10.19%; 1860275.24; 971773.75; 888501.49; Educação; 09.63%; 2989601.78; 3829327.97; -839726.19; Administração; 08.62%; 2597862.63; 1846367.11; 751495.52; Cultura; 08.55%; 856326.69; 110696.29; 745630.40;  1.89
Prefeitura Municipal de Senador Modestino Gonçalves - MG;  3165909;  MG;  4523; Despesas (Exceto Intraorçamentárias); 25.08%; 13470380.35; 11923377.07; 1547003.28; Administração; 14.28%; 915823.83; 1796532.45; -880708.62; Transporte; 11.25%; 1004923.80; 310777.76; 694146.04; Saúde; 10.20%; 3528198.79; 2899122.46; 629076.33; Previdência Social; 08.66%; 635130.16; 101213.05; 533917.11;  1.53
Prefeitura Municipal de Lupércio - SP;  3527801;  SP;  4536; Despesas (Exceto Intraorçamentárias); 44.18%; 16632160.39; 11814073.16; 4818087.23; Urbanismo; 30.73%; 4316325.17; 964879.54; 3351445.63; Saúde; 05.11%; 3457737.53; 2900236.00; 557501.53; Educação; 04.86%; 4343969.91; 3813424.26; 530545.65; Administração; 02.90%; 2093425.66; 1776830.72; 316594.94;  1.51
Prefeitura Municipal de São Pedro dos Crentes - MA;  2111573;  MA;  4542; Urbanismo; 21.55%; 125887.93; 964879.54; -838991.61; Transporte; 14.61%; 838448.20; 269699.41; 568748.79; Educação; 12.40%; 4296119.84; 3813424.26; 482695.58; Legislativa; 12.29%; 0; 478497.10; -478497.10; Saneamento; 07.73%; 413591.01; 112471.28; 301119.73;  1.51
