##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infraestrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.608 - Promoção da Produção Agropecuária";"20.609 - Defesa Agropecuária";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Combustíveis Minerais";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Aéreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Outras Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)"
Prefeitura Municipal de Pilões - RN;2410009;RN;3723;571467.62;571467.62;0;0;0;0;0;0;0;0;0;0;1737590.48;0;1516976.98;220613.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678090.26;3069.00;0;0;675021.26;0;0;0;0;0;0;0;3447888.08;0;3447888.08;0;0;0;0;0;0;0;0;0;0;0;2529120.21;2516091.36;0;0;0;3593.00;9435.85;0;0;0;264419.76;0;264419.76;0;23583.69;0;0;0;23583.69;1287074.56;0;1287074.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75660.61;0;75660.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19600.00;0;0;0;0;19600.00;0;0;0;0;0;0;0;0;0;0;170889.76;0;0;0;0;0;170889.76;50710.20;0;50710.20;0;0;0;0;0;0;0;0;0;0;0;10856095.23;0
Prefeitura Municipal de Rosana - SP;3544251;SP;18803;3581094.25;3581094.25;0;0;1257519.33;0;1257519.33;0;0;0;0;0;6034398.95;0;4423442.41;508547.90;733102.89;0;0;0;0;369305.75;0;0;0;73138.51;0;0;0;0;0;0;0;0;0;0;0;3370730.65;0;0;309423.72;3061306.93;0;0;0;0;0;0;0;16008467.04;6381766.50;9556364.06;0;70336.48;0;0;0;0;0;0;0;0;0;15602427.32;12111628.86;0;0;502204.77;547353.79;0;252574.00;0;2188665.90;411695.60;0;411695.60;0;0;0;0;0;0;9709815.16;4859127.07;4850688.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1167753.75;1167753.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1368633.22;0;0;0;0;1368633.22;0;0;0;0;0;0;0;0;0;0;1976167.94;0;1976167.94;0;0;0;0;408636.41;0;0;408636.41;0;4362353.88;0;0;1260198.81;0;0;3102155.07;0;0;65332832.01;0
Prefeitura Municipal de Monte Carmelo - MG;3143104;MG;47770;0;0;0;0;0;0;0;0;863235.65;0;863235.65;0;7671074.87;55698.88;4206905.26;3244227.42;164243.31;0;0;0;0;0;0;0;0;0;0;0;0;157247.03;157247.03;0;0;0;0;0;0;2759078.82;132496.35;0;448478.28;1011568.77;1166535.42;0;0;0;0;0;0;24737695.35;9716558.97;11449621.44;0;201813.40;1094772.71;100.50;2274828.33;0;0;0;0;0;0;18616857.56;14294733.30;0;0;290039.17;1950354.72;1043246.77;0;0;1038483.60;784542.45;25271.71;759270.74;0;0;0;0;0;0;9675787.00;1097302.31;6942094.22;385214.97;1251175.50;0;0;0;0;0;0;0;0;47303.33;47303.33;0;0;0;0;0;0;0;0;0;0;996741.21;0;726991.81;0;0;0;269749.40;0;0;0;0;0;0;0;0;0;0;0;29018.40;0;0;0;0;29018.40;0;0;0;0;0;0;0;0;0;0;524061.48;0;524061.48;0;0;0;0;1035485.46;0;550562.86;0;484922.60;3010663.74;0;0;3010663.74;0;0;0;0;0;70908792.35;0
Prefeitura Municipal de Palmital - SP;3535309;SP;22041;1641374.89;1641374.89;0;0;0;0;0;0;0;0;0;0;7112824.55;0;4267395.87;501801.59;0;0;0;0;0;0;0;0;2343627.09;0;0;0;0;0;0;0;0;0;0;0;0;2621451.61;78807.52;0;17779.69;2524864.40;0;0;0;0;0;0;0;17503355.10;9087010.48;6941136.89;998081.15;477126.58;0;0;0;0;0;0;0;0;0;17775112.19;11804726.19;0;227174.76;1069150.80;3446073.94;1227986.50;0;0;0;980997.56;0;980997.56;0;0;0;0;0;0;6064400.28;2256693.68;3807706.60;0;0;0;0;0;0;3842043.10;0;3842043.10;0;267577.72;267577.72;0;0;0;0;0;0;0;0;0;0;2636524.16;0;2636524.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;625985.68;0;625985.68;0;0;0;0;0;0;0;0;0;600546.80;0;600546.80;0;0;3525378.93;0;0;0;0;0;3525378.93;0;0;65197572.57;127578.78
Prefeitura Municipal de Pirassununga - SP;3539301;SP;74128;2064558.40;0;2064558.40;0;0;0;0;0;1259982.46;0;806.72;1259175.74;23286029.60;0;7056657.56;1337866.28;1841471.14;0;0;0;10947880.66;2102153.96;0;0;0;0;0;0;0;6103036.12;6103036.12;0;0;0;0;0;0;7663181.27;429002.49;0;2533699.77;4700479.01;0;2043998.38;0;2043998.38;0;0;0;52617798.11;44126992.27;7566132.24;638605.68;240868.00;45199.92;0;0;0;0;0;0;0;0;55930344.01;31876139.88;0;465347.96;0;12038138.59;0;710000.00;0;10840717.58;4415135.46;0;3253679.65;1161455.81;0;0;0;0;0;18542151.65;3119225.55;7784192.58;0;7638733.52;0;0;0;0;14934140.26;0;14934140.26;0;365834.50;365834.50;0;0;0;0;0;0;0;0;0;0;43089.08;0;0;0;0;0;43089.08;0;0;0;0;0;0;0;0;0;0;0;392370.56;392370.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2566852.02;0;2566852.02;0;0;0;0;1677988.10;0;1677988.10;0;0;8196232.45;0;0;1213051.51;0;0;6983180.94;0;0;202102722.43;0
Prefeitura Municipal de Cantá - RR;1400175;RR;15774;565270.55;565270.55;0;0;0;0;0;0;0;0;0;0;6496404.56;0;3290432.96;3205971.60;0;0;0;0;0;0;0;0;0;0;0;0;0;9900.00;0;0;0;9900.00;0;0;0;624023.59;8396.26;0;220524.15;395103.18;0;0;0;0;0;0;0;4740355.06;2284271.71;301079.02;0;0;445699.19;0;1709305.14;0;0;0;0;0;0;13082521.29;10142513.85;0;0;0;1219380.94;160593.98;0;713041.50;846991.02;1200.00;0;1200.00;0;9600.00;0;0;9600.00;0;0;0;0;0;0;0;0;0;0;755983.49;0;755983.49;0;135408.03;135408.03;0;0;0;0;0;0;0;0;0;0;87319.88;0;87319.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26507986.45;0
Prefeitura Municipal de Teodoro Sampaio - BA;2931400;BA;8067;624111.08;0;0;624111.08;61532.51;61532.51;0;0;0;0;0;0;3438666.66;0;3364924.15;0;0;73742.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;646604.96;0;0;0;646604.96;0;0;0;0;0;0;0;4049992.57;4049992.57;0;0;0;0;0;0;0;0;0;0;0;0;6192686.93;5756918.80;171508.20;0;0;71779.20;0;0;0;192480.73;240937.80;0;240937.80;0;0;0;0;0;0;2539219.39;2411000.24;128219.15;0;0;0;0;0;0;0;0;0;0;557002.55;557002.55;0;0;0;0;0;0;0;0;0;0;79.00;0;0;0;79.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97500.00;0;0;0;0;0;97500.00;0;0;0;0;0;198949.21;0;0;0;0;0;198949.21;0;0;18647282.66;0
Prefeitura Municipal de Catunda - CE;2303659;CE;10257;737489.26;737489.26;0;0;0;0;0;0;0;0;0;0;3004059.64;0;3004059.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1164859.73;30196.07;0;0;1134663.66;0;0;0;0;0;0;0;5392818.39;2008737.42;2215229.46;0;0;0;0;1168851.51;0;0;0;0;0;0;10542981.69;8083864.59;133937.55;0;0;437219.56;795229.32;0;0;1092730.67;304677.42;0;304677.42;0;0;0;0;0;0;2025264.51;188027.12;748710.56;0;1088526.83;0;0;0;0;14475.00;0;14475.00;0;957.20;0;957.20;0;0;0;0;312967.49;0;0;0;312967.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948.00;0;948.00;0;0;0;0;0;0;0;0;0;0;0;23501498.33;0
Prefeitura Municipal de Paulo Jacinto - AL;2706604;AL;7683;616131.99;616131.99;0;0;0;0;0;0;0;0;0;0;2198148.44;0;2198148.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;686086.43;15413.69;1237.80;208546.51;460888.43;0;1598533.40;1598533.40;0;0;0;0;3479297.90;2839100.69;506829.71;0;0;133367.50;0;0;0;0;0;0;0;0;5050974.20;3040711.24;0;0;0;425790.35;0;0;0;1584472.61;270287.13;0;270287.13;0;0;0;0;0;0;1710445.03;9629.07;1700815.96;0;0;72562.05;0;72562.05;0;0;0;0;0;89432.00;89432.00;0;0;0;0;0;0;0;0;0;0;622910.44;0;0;0;0;0;622910.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4324.00;0;4324.00;0;0;0;0;160166.10;0;160166.10;0;0;107554.13;107554.13;0;0;0;0;0;0;0;16666853.24;0
Prefeitura Municipal de Cantagalo - MG;3112059;MG;4436;522339.13;522339.13;0;0;0;0;0;0;0;0;0;0;3693528.14;182822.12;3345606.16;52966.65;30032.77;0;0;0;0;0;0;0;82100.44;0;0;0;0;5850.00;5850.00;0;0;0;0;0;0;601556.41;0;0;245613.76;149805.40;206137.25;275341.09;0;275341.09;0;0;0;3843103.02;1413744.71;1268088.15;71687.26;7800.00;30991.63;0;1050791.27;93867.07;93867.07;0;0;0;0;2514361.57;2030098.83;0;0;0;28090.08;0;0;0;456172.66;292352.96;0;292352.96;0;0;0;0;0;0;953028.61;816356.13;136672.48;0;0;0;0;0;0;0;0;0;0;78582.58;78582.58;0;0;0;0;0;0;0;0;0;0;127239.80;0;0;0;0;0;127239.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19870.27;1826.62;18043.65;0;0;0;0;0;0;118275.96;0;6378.28;0;0;0;111897.68;2358.80;0;0;2358.80;0;149608.18;0;0;149608.18;0;0;0;0;0;13291263.59;547393.89
Prefeitura Municipal de Rio Doce - MG;3155009;MG;2588;400288.52;400288.52;0;0;147614.70;0;147614.70;0;0;0;0;0;2218416.59;0;1798973.23;241145.96;0;0;0;0;0;147701.22;0;26205.28;4390.90;0;0;0;0;22308.86;22308.86;0;0;0;0;0;0;586326.83;3464.24;0;150355.26;429507.33;3000.00;130910.63;130910.63;0;0;0;0;2633797.17;850986.99;1517100.66;69178.41;35995.22;160535.89;0;0;0;0;0;0;0;0;1972478.76;1498888.37;7704.40;21318.37;65682.32;209702.75;4549.27;30000.00;0;134633.28;941558.00;644003.86;297554.14;0;0;0;0;0;0;1085805.18;721103.57;364701.61;0;0;188506.02;0;188506.02;0;354360.63;0;354360.63;0;17186.01;16500.00;686.01;0;0;0;0;0;0;0;0;0;512278.10;0;0;0;512278.10;0;0;49734.30;0;0;49734.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1470.00;0;1470.00;0;0;0;0;0;0;632599.14;0;632599.14;0;0;0;0;331937.93;0;290628.55;41309.38;0;0;0;0;0;0;0;0;0;0;12227577.37;0
Prefeitura Municipal de Segredo - RS;4320263;RS;7366;483353.52;483353.52;0;0;0;0;0;0;0;0;0;0;2469703.26;0;2211972.81;77457.96;0;0;0;0;0;180272.49;0;0;0;0;0;0;0;7000.00;0;7000.00;0;0;0;0;0;568894.34;0;4879.70;66663.15;497351.49;0;688371.74;0;688371.74;0;0;0;3972007.30;3578458.30;232437.32;0;0;0;0;161111.68;0;0;0;0;0;0;4263752.40;3659969.42;0;0;0;337705.52;2874.64;0;0;263202.82;61775.20;0;61775.20;0;0;0;0;0;0;180371.87;0;180371.87;0;0;0;0;0;0;377245.43;133962.60;243282.83;0;0;0;0;0;0;0;0;0;0;0;0;0;1505668.99;0;0;0;1222376.22;0;283292.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118756.94;0;118756.94;0;69874.63;69874.63;0;0;0;2698495.38;0;2433850.90;0;0;0;264644.48;39083.57;0;39083.57;0;0;169265.82;0;0;108464.48;0;0;60801.34;0;0;17673620.39;0
Prefeitura Municipal de Martinópole - CE;2307908;CE;10796;0;0;0;0;0;0;0;0;0;0;0;0;2390371.16;0;2137948.69;238442.47;0;0;0;0;0;0;0;13980.00;0;0;0;0;0;0;0;0;0;0;0;0;0;1354726.62;0;0;67350.82;424566.05;862809.75;0;0;0;0;0;0;5466634.41;2423185.69;1691961.21;31130.42;2782.45;174631.35;0;1142943.29;0;0;0;0;0;0;10536477.98;6933898.76;4600.00;0;0;27745.00;0;0;2594787.92;975446.30;426191.93;0;426191.93;0;0;0;0;0;0;3425856.85;1562004.53;746665.77;0;1117186.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84397.51;0;0;0;0;0;84397.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57819.78;0;57819.78;0;0;136045.89;0;136045.89;0;0;0;0;53977.86;0;53977.86;0;0;475688.00;0;0;133870.52;0;341817.48;0;0;0;24408187.99;0
Prefeitura Municipal de Parelhas - RN;2408904;RN;21387;1293482.80;1293482.80;0;0;0;0;0;0;0;0;0;0;6800919.18;0;6343240.70;385422.04;60490.04;0;6553.00;0;0;0;0;0;5213.40;0;0;0;0;7664.73;7664.73;0;0;0;0;0;0;1899488.26;5408.34;21248.00;431306.61;328112.92;1113412.39;0;0;0;0;0;0;10121749.11;3539173.90;3438387.37;0;41145.56;419554.75;0;2683487.53;0;0;0;0;0;0;11641569.30;6628700.17;51135.00;0;64035.00;4361724.06;0;2390.55;0;533584.52;223818.29;0;223818.29;0;0;0;0;0;0;253062.54;0;253062.54;0;0;0;0;0;0;58748.24;27273.00;31475.24;0;0;0;0;0;0;0;0;910.00;0;0;0;910.00;39165.62;39165.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6353.38;0;0;0;0;6353.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96401.00;0;96401.00;0;0;434179.69;0;0;434179.69;0;0;0;0;0;32877512.14;0
Prefeitura Municipal de Sapé - PB;2515302;PB;51964;2103178.71;2103178.71;0;0;8800.67;0;8800.67;0;218842.06;0;218842.06;0;4008506.32;1698.22;2874436.46;1043310.53;86926.11;2135.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2877008.90;0;0;519689.60;2292269.98;65049.32;8290423.44;2298176.86;5992246.58;0;0;0;21441044.76;7233645.46;13649607.64;0;0;557791.66;0;0;0;0;0;0;0;0;26766170.69;23029060.76;0;0;4576.00;2838154.13;131126.30;0;0;763253.50;805944.61;1398.64;804545.97;0;0;0;0;0;0;5500726.87;1186912.54;2291098.32;0;2022716.01;265282.28;0;265282.28;0;27650.00;0;27650.00;0;0;0;0;0;0;0;0;0;0;0;0;0;707446.51;0;65529.50;0;0;0;641917.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136583.24;0;0;136583.24;0;0;0;0;0;42890.00;0;42890.00;0;0;0;0;52936.50;0;52936.50;0;0;572286.35;0;0;0;0;0;572286.35;0;0;73825721.91;2485552.82
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;992119.08;992119.08;0;0;121766.81;121766.81;0;0;0;0;0;0;4116194.35;0;3198167.49;918026.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1543504.62;19320.00;0;170241.93;775344.55;578598.14;0;0;0;0;0;0;5589350.90;4359831.86;1087932.31;0;0;141586.73;0;0;0;0;0;0;0;0;8500205.52;7840483.29;0;0;0;331723.80;41196.93;13650.89;0;273150.61;59827.30;0;15297.80;44529.50;0;0;0;0;0;4047370.19;982118.81;0;0;3065251.38;0;0;0;0;0;0;0;0;255054.67;0;255054.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;870844.75;0;0;0;0;870844.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200351.12;0;0;200351.12;0;338317.08;0;0;338317.08;0;0;0;0;0;26634906.39;0
Prefeitura Municipal de Itapipoca - CE;2306405;CE;123613;3976691.41;3976691.41;0;0;0;0;0;0;0;0;0;0;8949257.08;0;8949257.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6797952.09;96095.58;0;402969.78;1313772.90;4985113.83;6194537.59;0;5218639.74;0;0;975897.85;52730301.99;16685207.74;23321980.95;616677.21;0;1605751.14;0;10500684.95;0;0;0;0;0;0;85043828.28;0;0;0;0;0;0;0;77043837.93;7999990.35;739887.08;0;739887.08;0;1635773.59;0;350.00;0;1635423.59;13633939.90;3738425.75;5227896.29;0;4667617.86;0;0;0;0;2267544.91;0;0;2267544.91;314121.85;0;48954.52;0;141642.50;0;123524.83;0;0;0;0;0;1595395.87;0;0;0;57746.25;0;1537649.62;0;0;0;0;0;0;0;0;0;0;0;231319.77;0;0;0;0;20010.00;211309.77;0;0;0;0;160878.50;0;160878.50;0;0;1191350.12;0;1191350.12;0;0;0;0;600550.46;0;16713.40;0;583837.06;5767782.66;0;0;2020721.87;0;849831.33;2897229.46;0;0;191831113.15;3917971.39
Prefeitura Municipal de Aparecida do Rio Negro - TO;1701101;TO;4561;435570.05;435570.05;0;0;0;0;0;0;0;0;0;0;1245297.59;0;1117435.04;111862.55;16000.00;0;0;0;0;0;0;0;0;0;0;0;0;5822.17;5822.17;0;0;0;0;0;0;614813.74;0;0;365.50;614448.24;0;169717.75;169717.75;0;0;0;0;2544617.69;1517039.21;75536.82;0;102080.61;6302.15;0;843658.90;46605.55;46605.55;0;0;0;0;3345144.49;3230816.47;0;0;0;114328.02;0;0;0;0;167854.75;0;167854.75;0;0;0;0;0;0;1132502.47;427554.59;703507.88;0;1440.00;0;0;0;0;0;0;0;0;12354.17;12354.17;0;0;0;0;0;0;0;0;0;0;129530.39;106981.26;22549.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4132.50;4132.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;573171.11;0;573171.11;0;0;0;0;251794.38;0;251794.38;0;0;0;0;0;0;0;0;0;0;0;10678928.80;0
Prefeitura Municipal de Presidente Médici - MA;2109239;MA;6755;756146.16;485076.23;0;271069.93;0;0;0;0;0;0;0;0;1983222.59;52736.60;1912316.49;18060.00;0;0;0;0;0;0;0;0;109.50;0;0;0;0;0;0;0;0;0;0;0;0;356043.67;0;0;206753.18;146100.59;3189.90;0;0;0;0;0;0;2903683.23;1032172.89;310831.18;0;42645.20;103173.43;0;1414860.53;0;0;0;0;0;0;6933543.85;141890.98;106249.29;0;0;676187.79;140219.49;0;5132868.58;736127.72;193792.00;0;193792.00;0;0;0;0;0;0;1531079.21;1422369.71;108709.50;0;0;0;0;0;0;14420.00;580.00;13840.00;0;28620.00;0;0;0;0;0;28620.00;0;0;0;0;0;108390.79;0;0;0;0;0;108390.79;0;0;0;0;0;0;0;0;0;0;0;41800.00;0;0;0;0;0;41800.00;25400.00;0;0;25400.00;198806.84;0;0;0;198806.84;347008.67;0;297242.00;0;0;0;49766.67;518255.42;0;518255.42;0;0;0;0;0;0;0;0;0;0;0;15940212.43;0
Prefeitura Municipal de São José do Xingu - MT;5107354;MT;5354;942452.22;942452.22;0;0;0;0;0;0;0;0;0;0;2822936.25;0;2174649.51;603488.74;0;0;0;0;0;0;0;44798.00;0;0;0;0;0;39366.40;39366.40;0;0;0;0;0;0;1060154.29;26010.05;0;37035.63;997108.61;0;0;0;0;0;0;0;4539260.57;2450085.43;1858115.51;40933.17;347.61;189778.85;0;0;163351.55;163351.55;0;0;0;0;4413393.34;3564205.87;0;0;0;774956.49;0;0;0;74230.98;151484.21;0;151484.21;0;82078.09;0;0;82078.09;0;455705.07;0;455705.07;0;0;0;0;0;0;247558.55;0;247558.55;0;0;0;0;0;0;0;0;0;0;0;0;0;418125.90;418125.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12394.81;0;12394.81;0;0;1077228.42;0;1077228.42;0;0;0;0;113503.04;0;113503.04;0;0;0;0;0;0;0;0;0;0;0;16538992.71;0
Prefeitura Municipal de Nova Mamoré - RO;1100338;RO;26925;0;0;0;0;1387464.58;1387464.58;0;0;0;0;0;0;8392936.43;0;7794950.40;501672.93;1400.00;0;0;0;0;0;0;0;94913.10;0;0;0;0;0;0;0;0;0;0;0;0;2052778.05;1431.30;0;393590.24;1657756.51;0;788204.48;0;788204.48;0;0;0;10854951.77;9585740.29;843042.78;87061.57;5280.00;333827.13;0;0;0;0;0;0;0;0;18111000.83;15166588.34;0;0;87567.31;2737204.16;119641.02;0;0;0;162147.74;0;162147.74;0;0;0;0;0;0;485407.35;56460.00;428947.35;0;0;0;0;0;0;0;0;0;0;18317.25;0;0;0;0;0;18317.25;0;0;0;0;0;116181.12;0;116181.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323448.45;0;323448.45;0;0;2052925.59;0;2052925.59;0;0;0;0;69872.10;0;69872.10;0;0;296015.51;296015.51;0;0;0;0;0;0;0;45111651.25;0
Prefeitura Municipal de Cafezal do Sul - PR;4103479;PR;4310;0;0;0;0;0;0;0;0;0;0;0;0;2546471.91;0;2176104.77;242825.74;0;0;0;0;0;127541.40;0;0;0;0;0;0;0;163784.28;0;163784.28;0;0;0;0;0;616274.00;0;0;73615.19;542658.81;0;0;0;0;0;0;0;4486310.72;3973431.97;209614.30;0;74984.11;0;0;228280.34;0;0;0;0;0;0;3424159.28;3141183.68;0;0;0;249579.28;1620.32;31776.00;0;0;14339.02;0;14339.02;0;0;0;0;0;0;918772.61;0;918772.61;0;0;0;0;0;0;0;0;0;0;65879.12;65879.12;0;0;0;0;0;0;0;0;0;0;390175.28;0;390175.28;0;0;0;0;0;0;0;0;67051.97;67051.97;0;0;0;0;0;0;0;0;0;0;0;0;3305.67;0;0;3305.67;179220.55;0;179220.55;0;0;637210.53;0;637210.53;0;0;0;0;107737.48;0;107737.48;0;0;484480.61;0;0;470876.15;0;0;13604.46;0;0;14105173.03;0
