##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Intraorçamentárias)";lof_absoluto_com_pop;lof_absoluto_sem_pop;lof_absoluto_suav;lof_absoluto_suav_norm;lof_relativo;lof_relativo_norm
Prefeitura Municipal de Gastão Vidigal - SP;3516804;SP;4534;497224.66;0;0;1661546.51;0;0;0;700848.22;941566.65;2749560.14;0;2252133.20;46940.16;0;1121342.04;0;0;0;0;399075.22;0;0;2000.00;0;0;435718.33;231243.78;477050.03;955399.06;1.01;1.01;1.00;1.00;1.10;1.14
Prefeitura Municipal de Cocal - PI;2202703;PI;27163;1091652.28;0;0;5484223.42;0;234272.39;0;632866.77;0;10046586.45;0;20028479.31;394618.54;0;1626465.91;135100.00;991601.28;138461.75;0;333288.21;0;0;0;0;0;177017.53;164240.85;0;0;1.01;1.01;1.09;1.11;0.97;1.00
Prefeitura Municipal de São Pedro do Sul - RS;4319406;RS;16802;0;184871.18;0;2942202.73;0;0;0;1410528.43;2908864.17;12309894.19;8855.00;7919036.16;210219.97;0;3892374.38;0;698456.64;499206.83;0;510643.81;0;0;0;351.84;0;0;0;898113.17;1589097.23;1.17;1.17;1.35;1.23;1.10;1.30
Prefeitura Municipal de Jóia - RS;4311155;RS;8643;1032910.98;0;0;3839182.83;0;50851.43;0;810222.80;1382630.04;5157364.82;0;5969760.09;0;0;250526.61;0;563966.65;0;0;1876263.82;0;0;0;0;46568.29;1093737.75;142900.15;0;2131570.67;1.19;1.19;1.18;1.15;1.21;1.33
Prefeitura Municipal de Nova Glória - GO;5214861;GO;8604;659143.29;685.31;77057.00;1533391.80;0;91444.00;0;659557.15;0;3100643.24;94138.13;3543114.86;0;0;745329.62;100305.45;169243.17;16459.65;0;12000.00;0;0;550.00;0;219648.00;508704.48;152540.77;999806.71;0;1.09;1.09;1.28;1.30;1.07;1.32
Prefeitura Municipal de Estrela - RS;4307807;RS;32535;1668488.71;0;0;7834101.47;0;230559.50;0;2359070.49;3710990.19;14438571.82;48631.68;16476165.97;1411210.78;0;6780601.68;85311.30;5850.00;3378499.96;0;2937744.39;0;0;1198298.95;901589.84;656012.89;79519.48;1416116.85;336326.08;4353999.95;1.14;1.14;1.08;1.13;1.18;1.76
Prefeitura Municipal de Viamão - RS;4323002;RS;251033;9828615.36;761529.33;0;22693496.89;0;178514.15;0;8460881.14;27371044.06;46493905.10;1432163.68;107324649.60;935644.79;16799.65;31750402.29;57800.00;570293.80;3096765.31;0;1786919.42;0;0;0;0;0;3302854.82;1155913.07;16692125.45;0;1.34;1.34;1.14;1.11;1.20;1.12
Prefeitura Municipal de Couto de Magalhães de Minas - MG;3120102;MG;4395;566261.58;62233.60;0;1243891.34;10377.33;13466.85;0;454801.81;422267.75;2722050.04;0;2980907.85;500397.27;0;1148452.98;2562.92;20201.23;15666.79;0;169346.38;0;0;9762.41;5394.32;144379.65;147147.70;46318.05;215763.25;0;0.98;0.98;1.01;1.01;1.02;1.32
Prefeitura Municipal de Pindobaçu - BA;2924603;BA;21087;1153892.98;0;0;5779615.45;0;0;0;960601.55;0;8558801.82;0;17335239.51;128995.96;0;2253552.23;0;540090.31;52763.87;0;147901.28;0;0;0;0;0;30000.00;132056.56;372954.42;0;1.00;1.00;0.98;0.99;0.98;0.98
Prefeitura Municipal de Capão do Cipó - RS;4304655;RS;3354;649451.60;0;0;2931874.26;0;0;0;914688.01;0;4234138.03;0;3898494.29;100956.16;0;271029.70;134531.93;3828043.25;383698.99;0;1012988.00;0;0;131528.14;0;23680.78;2056167.61;146837.37;0;0;2.22;2.22;1.08;1.10;2.05;3.66
Prefeitura Municipal de Coité do Nóia - AL;2702009;AL;11049;769114.34;0;0;1815328.30;0;0;0;815253.21;1616750.61;4026120.69;0;9234564.56;628336.23;0;1571602.09;0;0;0;0;907102.68;0;0;0;0;6000.00;0;144164.18;214795.66;885121.67;1.12;1.12;1.05;1.04;1.18;1.07
Prefeitura Municipal de Sinimbu - RS;4320677;RS;10395;550521.51;130548.08;0;2502354.95;0;0;0;573302.33;0;4945708.42;0;8253089.22;37366.60;0;238404.72;0;334917.87;305819.15;0;784381.70;0;38971.96;84581.17;0;0;1597245.01;77375.82;454560.33;0;1.10;1.10;1.09;1.10;1.20;1.43
Prefeitura Municipal de Brejinho - RN;2401800;RN;12399;745621.32;0;0;1309358.27;0;0;0;1150336.37;0;5779365.73;0;8274248.78;4875.00;0;1823400.71;0;0;0;0;666466.49;0;0;0;0;0;0;231402.88;638124.34;0;1.03;1.03;0.98;0.99;1.02;1.03
Prefeitura Municipal de Águas Mornas - SC;4200606;SC;6020;500534.77;0;0;1619805.23;0;22044.82;0;357523.24;738408.45;3815962.56;0;3391804.53;0;0;2692461.61;0;0;0;0;643420.97;0;0;86029.24;0;0;1378370.65;429527.39;374487.72;571768.06;1.25;1.25;1.14;1.07;1.24;1.23
Prefeitura Municipal de Paraisópolis - MG;3147303;MG;20563;654344.39;0;0;7539143.30;0;0;0;1062346.68;0;8645606.31;0;8046115.54;411114.69;0;2017865.21;0;1997607.43;115503.57;0;261564.95;0;0;0;47312.22;0;332177.85;340635.14;80907.55;0;1.16;1.16;1.03;1.08;1.06;1.14
Prefeitura Municipal de Coronel Xavier Chaves - MG;3119708;MG;3440;229772.86;0;0;2075860.22;0;0;0;437168.66;0;2568898.15;0;2006614.59;251596.28;0;807989.21;0;64386.07;292856.01;0;624834.94;0;0;12360.64;0;0;277619.74;234930.84;134463.45;0;1.00;1.00;0.98;1.01;1.12;1.31
Prefeitura Municipal de Santo Antônio do Rio Abaixo - MG;3160504;MG;1818;541483.61;0;0;1762866.46;0;17290.37;0;408296.35;322062.88;2492456.49;0;1717048.76;31180.81;0;644238.82;78079.65;168198.42;64162.16;0;190814.41;0;0;0;8982.36;0;908318.04;286253.21;238132.64;0;0.99;0.99;1.02;1.04;1.10;1.30
Prefeitura Municipal de Santa Teresinha - BA;2928505;BA;10514;660458.78;0;0;2218903.59;0;0;0;474898.73;0;6035885.57;0;6893268.66;290804.68;0;731860.83;871437.94;0;0;0;340283.46;0;0;0;0;0;32236.19;0;0;0;1.08;1.08;1.20;1.11;1.15;1.88
Prefeitura Municipal de Grão Mogol - MG;3127800;MG;15737;1296171.06;0;0;3371635.94;0;0;0;1100493.78;1306577.29;9515819.33;0;10101746.99;1202671.86;0;2796695.96;0;1029895.28;241231.12;0;375680.53;0;0;119590.51;95624.20;266629.69;1641655.72;213575.29;553810.03;0;1.01;1.01;1.03;1.04;1.02;1.25
Prefeitura Municipal de Cáceres - MT;5102504;MT;90106;4072162.20;0;996127.18;8071958.83;0;0;0;3776734.35;10297014.88;20630269.43;29108.79;36462321.63;875313.23;139140.00;8929913.47;0;5787872.33;0;0;497976.25;0;35125.30;158786.97;138.10;0;0;304521.45;5238118.66;0;1.16;1.16;1.46;1.25;1.16;1.28
Prefeitura Municipal de Tarumã - SP;3553955;SP;14027;1339983.41;0;0;7758611.93;0;0;0;2889695.14;1752258.82;9217496.71;44329.52;14405285.45;519458.61;0;3726649.79;0;123727.67;904519.36;0;825958.22;0;0;0;100728.49;517538.72;0;1447930.09;0;1710980.45;1.14;1.14;1.19;1.23;1.06;1.46
Prefeitura Municipal de Marliéria - MG;3140308;MG;4126;631285.39;278788.22;0;3809258.91;180.00;1592.68;0;395777.11;0;3175263.41;0;2825673.73;212372.38;0;386693.69;0;109613.74;124859.06;0;113809.06;0;0;34776.38;113183.16;20307.58;324306.27;25611.63;74739.21;0;1.04;1.04;1.04;1.07;1.05;1.88
Prefeitura Municipal de Nova Aurora - GO;5214804;GO;2168;510480.76;0;75960.00;991264.10;13783.12;17327.18;0;566879.90;356914.76;2708985.59;0;1679159.13;246928.79;0;655504.42;0;0;63002.32;0;80638.48;0;0;0;0;0;567108.46;167440.06;208021.43;0;1.02;1.02;1.25;1.20;1.15;1.66
Prefeitura Municipal de Amapá do Maranhão - MA;2100550;MA;6731;0;0;0;2442015.85;0;0;0;436242.03;0;2271874.20;0;6075384.76;311000.00;0;388180.37;0;10235.00;0;0;20007.00;0;0;0;0;0;488186.39;5000.00;0;0;1.05;1.05;1.02;1.05;1.04;1.08
Prefeitura Municipal de Regeneração - PI;2208809;PI;17696;917146.47;0;0;3715519.56;0;17390.00;0;641230.76;1303562.11;7904752.63;2896.00;10676049.89;185081.93;12111.87;1929356.93;0;583993.78;0;0;294765.04;0;0;0;0;0;25406.00;234788.83;0;0;1.02;1.02;1.18;1.26;1.00;1.03
Prefeitura Municipal de Tumiritinga - MG;3169505;MG;6632;577962.99;39656.76;0;3893936.18;12811.99;13.54;0;527432.11;289304.98;3051950.99;0;3570857.96;460468.66;0;799177.22;0;82996.63;3672.02;0;133145.44;0;0;5240.24;0;104551.07;307087.68;179887.16;127653.72;0;1.05;1.05;1.03;1.01;1.03;1.28
Prefeitura Municipal de Mulungu - PB;2509800;PB;9796;562083.24;0;0;1541008.08;0;0;0;410698.68;442112.16;4449830.45;0;5499613.80;163379.30;0;1036970.02;0;0;0;0;2065.50;0;0;0;0;140245.57;4155.00;115343.38;93845.07;892505.30;1.02;1.02;1.06;1.07;0.98;1.07
Prefeitura Municipal de São João do Pau d'Alho - SP;3549300;SP;2145;383466.91;0;0;1611548.96;0;0;0;613301.29;942135.16;2671388.40;0;2161500.60;131606.03;0;312774.83;100000.00;194659.02;39763.75;0;273013.18;0;0;0;0;117624.61;1256833.03;52194.24;212128.07;0;1.03;1.03;1.02;1.05;1.16;1.44
Prefeitura Municipal de Divinópolis de Goiás - GO;5208301;GO;5032;594584.03;0;0;2130537.32;0;0;0;472258.51;0;3334761.68;0;4450762.65;1826.67;0;1845478.52;0;0;5000.00;0;238300.04;0;0;0;0;0;784328.13;102835.30;205769.35;0;1.03;1.03;0.97;0.98;1.05;1.16
Prefeitura Municipal de Palestina do Pará - PA;1505494;PA;7444;562648.58;63717.85;104902.23;2371911.90;0;2814.93;0;174155.15;20782.21;2960278.38;0;6524584.15;289563.47;0;2161878.22;0;164661.22;91000.00;0;232271.83;0;0;0;15150.12;215857.12;33003.09;3057.60;126085.23;0;1.04;1.04;1.06;1.15;1.11;1.49
Prefeitura Municipal de Campo Maior - PI;2202208;PI;45904;1981270.77;0;0;8214270.50;0;0;0;2872491.94;1054932.86;24480621.45;0;23462523.16;657964.00;0;4522188.39;309586.37;5707370.33;361039.62;0;508968.64;0;0;3243.43;3794.46;0;475704.58;627377.06;1604103.75;0;1.10;1.10;1.05;1.08;1.06;1.06
Prefeitura Municipal de Imigrante - RS;4310363;RS;3141;326462.52;0;0;3507988.03;0;36180.00;0;551682.00;0;3710279.06;0;4034405.08;417934.26;0;401893.48;0;121748.91;39779.91;0;1240869.44;0;188589.94;35283.40;95320.47;2600.00;1173171.27;168255.07;39760.24;0;1.12;1.12;1.05;1.06;1.11;1.65
Prefeitura Municipal de Jequié - BA;2918001;BA;161150;9310084.10;0;0;36834658.47;0;0;0;10486438.86;30471876.63;66298702.15;0;89745766.25;3447994.07;0;28281320.60;0;15243.16;0;0;730388.11;0;0;769274.03;0;0;0;1332037.59;0;0;1.15;1.15;1.26;1.29;1.04;1.01
Prefeitura Municipal de Macaíba - RN;2407104;RN;76801;4975162.01;0;0;19585150.61;0;0;0;4018889.18;3148353.56;27411817.85;0;42771333.42;998054.42;0;3222509.53;86496.90;9021878.74;1388520.03;0;628640.70;0;0;0;0;0;782972.41;1730312.47;0;0;1.11;1.11;1.15;1.18;1.09;1.13
Prefeitura Municipal de José da Penha - RN;2406007;RN;6049;565055.61;0;0;1252416.11;0;0;0;364379.72;325381.96;3627837.84;0;3462275.34;88730.03;0;1179971.55;0;277833.03;0;0;673130.14;0;0;0;27230.05;166241.77;244925.44;0;252735.12;0;1.02;1.02;1.15;1.17;1.03;1.16
Prefeitura Municipal de Inhambupe - BA;2913705;BA;40441;0;0;0;3791630.82;0;0;0;1983939.36;0;11934351.56;7596.73;25495749.01;295384.60;0;6473924.49;0;15512.32;0;0;451060.83;0;0;0;0;0;0;358476.74;1330764.95;0;1.06;1.06;1.15;1.18;1.02;1.01
Prefeitura Municipal de Bernardino Batista - PB;2502052;PB;3312;526200.91;0;0;2267911.46;0;0;0;455489.09;0;2669848.25;0;5969119.24;116056.91;0;763338.28;104967.77;5300.00;23270.65;0;159023.78;0;0;368774.09;0;0;21698.00;157301.32;94670.79;0;1.00;1.00;1.02;1.03;1.37;1.68
Prefeitura Municipal de São João Nepomuceno - MG;3162906;MG;26227;1444502.47;0;0;3269809.28;52856.85;43614.07;0;1110553.33;560081.22;11669653.92;0;11400746.45;374256.49;0;2575008.06;10404.13;2582777.45;89.75;0;836317.67;0;0;673097.42;0;0;1643869.03;394573.84;564176.37;0;1.10;1.10;1.11;1.05;1.03;1.19
Prefeitura Municipal de Luzerna - SC;4210035;SC;5700;441463.00;0;0;2372660.62;0;125157.45;0;686968.38;0;3442352.79;41276.46;5130116.54;220467.53;0;2460860.34;97028.88;281698.72;0;0;1110965.26;0;69147.84;40837.00;0;0;1179555.75;192287.36;281897.47;0;1.17;1.17;1.08;1.08;1.17;1.27
Prefeitura Municipal de Capanema - PA;1502202;PA;65932;0;0;0;11868549.56;0;0;0;3623927.38;0;31790755.15;0;28659721.19;911306.42;0;8805539.62;0;0;436003.69;0;1002946.43;0;276921.60;860.74;355481.42;880214.38;2281818.34;188844.67;0;0;1.10;1.10;1.24;1.32;1.00;1.23
Prefeitura Municipal de Arapongas - PR;4101507;PR;113833;0;1734619.07;0;15501973.35;0;8795253.99;0;6188768.81;0;44026728.26;408500.00;41332919.58;2185964.92;46328.65;23070929.66;0;0;247799.60;4238062.72;31717.62;0;5216973.25;0;0;0;6483700.42;2182513.55;5132527.79;0;1.17;1.17;1.39;1.20;1.13;2.81
Prefeitura Municipal de Buritizal - SP;3508207;SP;4313;681996.22;0;0;2901171.53;0;39862.81;0;876993.06;562633.32;4591146.96;0;6472500.37;144900.72;0;1333490.83;1145388.36;0;0;0;364715.32;0;0;135438.95;0;0;727271.99;409522.51;203676.11;0;1.05;1.05;1.09;1.06;1.13;1.70
Prefeitura Municipal de Novo Alegre - TO;1715150;TO;2350;396446.68;0;0;1381218.75;0;0;0;556233.09;0;2146602.00;0;961096.34;7215.93;0;698622.18;0;0;102195.96;0;707879.91;0;0;253609.00;0;0;9000.00;25346.00;33062.40;0;1.21;1.21;1.02;1.07;1.57;1.63
Prefeitura Municipal de Nazareno - MG;3144508;MG;8422;600623.63;140080.43;0;3110681.48;0;42772.54;0;838606.85;374047.13;5072487.52;524396.96;3937670.13;201786.92;0;1069023.93;0;76561.13;366148.76;0;822443.07;0;0;214983.81;0;0;473225.14;141696.96;199455.90;0;1.09;1.09;1.03;1.04;1.06;1.52
Prefeitura Municipal de Ponte Nova - MG;3152105;MG;59814;3179630.43;0;0;12242961.38;0;861377.43;0;4434157.00;2757967.85;60448183.97;0;28605802.20;1248593.86;0;5306711.85;0;14728511.37;1009296.75;0;627206.55;0;0;0;0;0;0;488600.41;4098710.65;467507.45;1.34;1.34;1.15;1.15;1.35;1.24
Prefeitura Municipal de Acará - PA;1500206;PA;54047;0;0;0;6688917.61;0;0;0;2589239.61;0;15004152.62;0;65567917.34;33168.17;78000.00;3511020.86;0;336898.69;267067.04;0;573081.97;0;0;0;0;0;2697599.04;406113.09;1048193.54;0;1.53;1.53;1.10;1.22;1.35;1.20
Prefeitura Municipal de Jardim Alegre - PR;4112504;PR;12280;0;622309.86;0;2484871.04;0;1123.37;0;1110654.41;951759.58;6080620.05;0;6583532.67;0;0;1002542.26;0;0;92348.70;0;972036.13;0;0;0;11262.00;0;1663683.50;261117.24;346173.08;0;1.10;1.10;1.23;1.22;1.11;1.31
Prefeitura Municipal de Agudo - RS;4300109;RS;17140;733760.96;0;0;4913596.35;0;13087.70;0;1399220.82;4027824.79;4786211.60;0;9534452.65;313488.55;0;1160047.74;155506.94;0;227176.25;0;2277194.99;0;92028.90;355524.83;266633.07;511465.68;3687571.11;130734.75;352536.53;3477089.40;1.61;1.61;1.07;1.11;1.50;1.58
Prefeitura Municipal de Mata Roma - MA;2106409;MA;16169;0;0;0;2625642.25;0;0;0;670223.82;0;10888371.38;0;17758354.30;1853640.08;0;3809615.62;0;807980.49;0;0;168197.00;0;0;0;0;0;0;0;0;0;1.10;1.10;1.13;1.08;1.25;1.66
Prefeitura Municipal de Caibi - SC;4203105;SC;6259;480814.26;0;0;1999220.56;0;53420.16;0;1014929.39;0;4281284.26;0;3808996.87;387835.07;0;1263519.34;0;0;0;0;1673609.09;0;198013.17;0;0;0;1657199.21;447617.25;699011.01;0;1.11;1.11;1.12;1.07;1.13;1.20
Prefeitura Municipal de Cristina - MG;3120508;MG;10485;602935.27;0;0;2157662.25;0;49031.12;0;599218.02;0;5061838.83;0;5467712.11;565976.54;0;1083866.32;0;473533.51;0;0;220585.95;0;0;20426.20;77176.87;388276.93;770641.31;220330.16;438917.37;0;1.04;1.04;1.06;1.02;1.01;1.20
Prefeitura Municipal de Canudos do Vale - RS;4304614;RS;1834;431926.32;0;0;2920640.70;0;0;0;128785.60;0;2249699.45;0;2123162.00;116367.10;0;0;0;18412.47;98052.08;0;615058.43;0;0;8399.25;0;52251.63;724423.77;10441.60;0;0;1.06;1.06;1.15;1.19;1.20;1.36
Prefeitura Municipal de Tupanciretã - RS;4322202;RS;23421;2128461.55;0;0;7848148.03;0;166536.16;0;1759155.84;2678841.36;11212131.69;0;17250301.86;268445.42;0;1133798.10;0;68328.98;960456.63;0;77864.03;0;0;1811.00;11751.18;0;1796966.98;194218.75;1754347.73;841229.76;1.09;1.09;1.00;1.04;1.09;1.26
Prefeitura Municipal de Juripiranga - PB;2507903;PB;10616;734968.28;0;0;1997268.70;0;0;0;1071573.43;210054.20;5121794.87;0;6776425.07;879449.05;0;1931926.92;100848.31;0;0;0;0;0;0;0;0;0;0;14174.90;270587.62;0;1.00;1.00;1.17;1.14;1.00;1.13
Prefeitura Municipal de Ocara - CE;2309458;CE;24979;1269615.32;0;0;2448556.53;0;0;0;1954453.07;2294905.38;12393141.59;0;16671884.99;474480.19;0;1968646.86;0;520505.72;0;0;385654.00;0;0;0;0;0;26836.64;96395.15;779950.43;0;1.11;1.11;0.98;0.99;1.09;1.02
Prefeitura Municipal de Umbuzeiro - PB;2517001;PB;9874;572091.32;0;0;2792991.88;0;0;0;813169.51;281727.48;3374770.15;0;6312076.55;0;0;0;0;0;0;0;243762.09;0;0;0;0;0;78180.28;35641.44;8047.00;271251.26;1.03;1.03;1.24;1.17;1.01;1.01
Prefeitura Municipal de Cordilheira Alta - SC;4204350;SC;4114;619553.32;0;0;2242752.88;0;0;0;453646.68;0;3926882.15;0;4008632.95;194571.86;0;4758034.88;0;0;0;0;1834095.65;0;0;0;0;0;0;344101.86;524176.95;0;1.59;1.59;0.98;0.98;1.58;1.63
Prefeitura Municipal de Guaxupé - MG;3128709;MG;51704;2541396.21;932886.81;0;7065596.06;0;155664.41;0;3782092.79;2143734.58;23937901.98;1003395.03;26030581.75;2715321.76;0;13550319.70;0;1250521.32;150000.00;0;251073.93;0;109596.08;30000.00;0;0;1329574.48;574189.82;1664879.66;0;1.10;1.10;1.10;1.09;1.04;1.31
Prefeitura Municipal de Barbosa Ferraz - PR;4102505;PR;12583;876755.88;0;0;5548856.58;0;0;0;514943.95;0;7313861.13;0;6419087.79;110308.55;0;1323022.13;426977.00;202255.39;0;0;798425.39;0;51749.62;0;0;0;0;135654.07;361004.83;0;1.10;1.10;1.21;1.22;1.02;1.33
Prefeitura Municipal de Doutor Ulysses - PR;4128633;PR;5822;0;106572.27;0;2226711.42;0;0;0;756054.69;0;2652268.37;0;3272156.63;52747.09;0;944980.19;0;0;101158.65;0;320334.00;0;0;0;0;0;689662.88;77170.55;172346.31;0;1.03;1.03;1.03;1.02;1.10;1.26
Prefeitura Municipal de São Lourenço - MG;3163706;MG;44417;2969592.37;0;543938.39;10256508.77;0;0;0;1981301.43;3712638.86;28032156.27;0;17902698.06;353408.03;0;6220455.88;39181.37;7651750.09;100990.79;0;0;0;0;1638568.51;0;0;997198.39;851584.72;1737714.17;0;1.26;1.26;1.31;1.18;1.15;1.18
Prefeitura Municipal de Santa Terezinha do Progresso - SC;4215687;SC;2720;562631.32;0;0;2025638.90;0;15972.09;0;622822.73;0;2215770.69;0;2215768.95;71583.15;0;213845.48;0;189349.97;0;0;1107503.58;0;0;0;620.00;0;1111197.22;69696.32;0;0;1.00;1.00;1.08;1.08;1.12;1.18
Prefeitura Municipal de Tambaú - SP;3553302;SP;23187;960240.87;0;1287764.61;7663672.24;0;49169.95;0;3467668.31;5013035.49;13157326.87;0;14770225.69;573381.87;0;3977400.65;100526.53;5400060.42;659752.38;46676.67;82194.55;0;0;552246.70;0;0;1264968.54;671057.92;1015234.37;0;1.26;1.26;1.19;1.18;1.22;1.72
Prefeitura Municipal de Pouso Redondo - SC;4213708;SC;16154;991553.80;0;0;4642099.97;0;193854.54;0;1078727.94;0;8471113.74;0;8499117.53;317085.12;0;919391.06;60974.18;1904.75;0;0;1374003.57;0;0;131381.97;0;0;3726205.00;3223573.52;794716.22;0;1.27;1.27;1.03;1.06;1.21;1.69
Prefeitura Municipal de Parnaguá - PI;2207603;PI;10530;619089.73;0;0;3255442.27;0;0;0;619411.21;0;5420494.18;0;7553067.93;0;0;1303381.81;65530.76;20719.16;24750.00;0;47226.75;0;0;0;0;2075.10;58438.86;0;293864.54;0;0.99;0.99;1.27;1.17;1.00;0.99
Prefeitura Municipal de Catolé do Rocha - PB;2504306;PB;29990;1489220.14;0;0;3036563.41;0;0;0;1816012.07;0;13780437.39;0;13982445.99;646596.01;0;5326773.38;0;0;0;0;720856.00;0;0;0;0;0;0;52150.00;0;0;1.10;1.10;1.00;1.05;1.00;1.00
Prefeitura Municipal de Honório Serpa - PR;4109658;PR;5834;0;0;0;2269164.52;0;0;0;752697.61;0;4036014.73;0;3106575.71;236950.83;0;3576549.48;0;0;52938.38;0;527775.86;0;28369.85;0;0;0;301594.58;195513.62;0;0;1.29;1.29;1.07;1.06;1.22;1.30
Prefeitura Municipal de Alto Alegre do Pindaré - MA;2100477;MA;31271;0;0;0;4336305.97;0;10170.00;0;1199147.36;0;11271476.96;0;24534512.77;970973.99;0;1079213.98;88995.73;299781.20;81258.95;0;211834.52;0;0;0;0;389760.67;4279588.42;95888.24;237658.94;0;1.10;1.10;1.07;1.06;1.19;1.12
Prefeitura Municipal de Balsa Nova - PR;4102307;PR;12200;0;0;0;6085564.15;0;0;0;1887679.96;0;8131996.15;0;9519314.45;129328.25;0;4685114.17;0;698720.90;75001.09;0;334570.75;0;69808.20;316679.93;0;0;0;623577.82;1107440.48;0;1.13;1.13;1.21;1.17;1.07;1.22
Prefeitura Municipal de Francisco Badaró - MG;3126505;MG;10546;745258.25;299267.46;0;1513840.09;22919.81;0;0;482753.46;0;4832103.91;0;3381016.97;264913.82;0;1236849.46;77999.87;449075.76;121.00;42550.71;137151.71;0;0;0;14232.65;0;539679.79;87967.57;1495940.33;0;1.25;1.25;1.20;1.28;1.11;1.64
Prefeitura Municipal de Aurora - SC;4201901;SC;5668;663650.32;0;0;2712455.89;0;0;0;309228.93;0;3350523.26;0;5476825.76;82443.28;0;0;0;0;0;0;775362.94;0;0;0;0;0;4309909.68;161658.09;0;0;1.43;1.43;1.22;1.18;1.28;1.35
Prefeitura Municipal de Cachoeira do Piriá - PA;1501956;PA;30430;0;273352.34;0;2715366.03;0;0;0;2133939.01;0;6535347.52;0;18325672.79;413441.22;0;4062137.21;0;271781.47;303298.68;0;196207.59;0;0;0;0;192639.48;2813418.88;9752.50;0;0;1.17;1.17;1.06;1.08;1.20;1.17
Prefeitura Municipal de Águas Belas - PE;2600500;PE;42291;1798264.00;464903.07;0;7769840.18;0;0;0;1189295.71;5934107.57;9007751.88;0;24046938.69;1286433.93;0;4662187.76;0;0;19560.00;0;0;0;0;0;190883.07;0;153328.92;3193.00;1262151.87;3122984.44;1.26;1.26;1.29;1.28;1.15;1.18
Prefeitura Municipal de Queimadas - BA;2925808;BA;26054;1454492.65;0;0;8289197.99;0;0;0;1478443.48;0;7853940.65;0;20112548.66;434372.70;0;418945.80;0;1091657.67;91527.33;0;157718.50;0;0;0;0;0;353328.78;33215.92;1473300.95;0;1.05;1.05;0.99;1.01;1.03;1.03
Prefeitura Municipal de Passo de Camaragibe - AL;2706505;AL;15396;993408.46;104385.00;0;3802663.87;0;0;0;766884.25;3231658.38;6834768.29;0;12613645.07;1004403.16;0;2582211.69;0;0;0;0;41484.00;0;0;0;0;0;0;95.00;433535.51;2121842.51;1.13;1.13;1.14;1.20;1.13;1.12
Prefeitura Municipal de Abadia dos Dourados - MG;3100104;MG;6992;697453.67;0;0;2576181.86;0;9624.66;0;439221.71;253512.60;3609589.55;0;4052642.81;32622.97;0;1188397.24;46894.62;538043.57;38552.20;0;187869.31;0;0;0;0;0;1070409.29;68945.36;370984.43;0;1.04;1.04;1.02;1.03;1.04;1.14
Prefeitura Municipal de Hulha Negra - RS;4309654;RS;6434;718355.81;211423.11;0;2378508.28;0;0;0;571594.34;0;3708517.24;0;4746149.76;61917.87;0;2195326.48;0;30368.94;47862.47;0;1267859.74;0;0;0;0;0;793962.39;28290.55;1602769.97;0;1.28;1.28;1.05;1.07;1.30;1.47
Prefeitura Municipal de Marechal Cândido Rondon - PR;4114609;PR;50299;3123807.83;0;830436.67;18810385.50;0;439830.81;0;4256093.11;1853307.74;22692244.73;0;24125416.57;1371875.03;0;15280099.59;31839.15;6476545.71;750901.96;0;4050278.37;0;200914.45;2511617.70;0;0;8503.95;1275422.05;3823892.35;0;1.23;1.23;1.11;1.10;1.16;1.34
Prefeitura Municipal de Cruz das Almas - BA;2909802;BA;63761;0;2729677.87;0;20958926.58;0;0;0;1984396.64;0;22164724.94;0;28970193.35;2810758.06;0;2346370.09;150213.09;43500.00;0;0;0;0;0;0;0;0;715179.66;225020.92;1408347.66;0;1.14;1.14;1.26;1.23;1.06;1.31
Prefeitura Municipal de Maraial - PE;2609204;PE;11858;830772.44;0;0;4496746.93;0;0;0;829098.67;215675.14;4213347.48;0;7930029.73;804936.89;0;27676.00;0;0;695320.69;0;186203.01;5000.00;0;0;0;0;0;81384.91;403862.64;0;1.11;1.11;1.12;2.31;1.06;1.28
Prefeitura Municipal de Taió - SC;4217808;SC;17959;1695590.70;0;0;3386828.11;0;484717.37;0;1601168.05;1594636.58;10256593.54;0;10564878.01;725595.73;0;5212473.97;0;48237.22;0;0;1479422.56;0;556920.37;0;0;0;4472016.47;260496.41;562104.49;2841265.83;1.24;1.24;1.13;1.09;1.13;1.39
Prefeitura Municipal de Lajeado do Bugre - RS;4311429;RS;2583;0;485172.11;0;3290580.24;0;0;0;822295.39;0;2143861.48;0;3009596.49;0;0;0;0;0;1034.30;0;971227.87;0;0;0;0;0;72429.71;0;0;0;1.20;1.20;1.29;1.20;1.31;2.72
